boundary,mode_off_cycles,mode_on_cycles,delta_cycles,mode_off_us,mode_on_us,affected_occurrences,added_full_scan_cycles,proof_limit
clean_select_write_stop_to_verify_start,3755,22505,18750,60.080,360.080,10,187500,includes_3_same_bank_reselections
clean_verify_read_to_first_entry_read,3755,3755,0,60.080,60.080,0,0,unchanged_gap
clean_restore_write_stop_to_verify_start,3755,22505,18750,60.080,360.080,1,18750,successful_restore_only
other_unchanged_adjacent_command_gaps,3755,3755,0,60.080,60.080,93,0,104_total_gaps_11_affected
clean_scan_total_addition,,,,,,11,206250,3300_us_at_62_5_mhz
