sample_index,monotonic_ms,utc,target_count,device_count,target_path,canonical_id,part,idcode,done,refresh_result
1,1787525891732,2026-08-23T22:58:11Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,0,PASS
2,1787525892550,2026-08-23T22:58:12Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,0,PASS
3,1787525893363,2026-08-23T22:58:13Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,0,PASS
4,1787525894158,2026-08-23T22:58:14Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,0,PASS
5,1787525894955,2026-08-23T22:58:14Z,1,1,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,Xilinx/80802026a98b01,xc7a35t,0362D093,0,PASS
