order,action,companion_value,slice_value,requested,executed,result,functional_writes
1,APPLY_SLICE_50,0xA4,0x50,NO,NO,NOT_RUN,0
2,APPLY_SLICE_40,0xA4,0x40,NO,NO,NOT_RUN,0
3,APPLY_SLICE_60,0xA4,0x60,NO,NO,NOT_RUN,0
