slice,accepted_snapshots,stable_agreeing,classification,result
0x50,0,0,NOT_REACHED,NOT_RUN
0x40,0,0,NOT_REACHED,NOT_RUN
0x60,0,0,NOT_REACHED,NOT_RUN
