action,bank5_0x05_expected,bank5_0x05_read,bank5_0x08_expected,bank5_0x08_read,result
APPLY_SLICE_50,0xA4,N/A,0x50,N/A,NOT_RUN
APPLY_SLICE_40,0xA4,N/A,0x40,N/A,NOT_RUN
APPLY_SLICE_60,0xA4,N/A,0x60,N/A,NOT_RUN
