name,period,waveform,is_generated,master_clock,source_pins
"clk_125mhz","8.000","0.000 4.000","1","txoutclk_x0y0","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT0"
"clk_250mhz","4.000","0.000 2.000","1","txoutclk_x0y0","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT1"
"idelay_mmcm_feedback_unbuf","6.734","0.000 3.367","1","nvp_vclk1","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKFBOUT"
"idelay_refclk_unbuf","5.050","0.000 2.525","1","nvp_vclk1","NVP_PHYSICAL_FRONTEND/u_idelay_refclk_mmcm/CLKOUT0"
"mmcm_fb","10.000","0.000 5.000","1","txoutclk_x0y0","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKFBOUT"
"nvp_vclk1","6.734","0.000 3.367","0","","vclk1"
"pcie_refclk_100","10.000","0.000 5.000","0","","sys_clk_p"
"txoutclk_x0y0","10.000","0.000 5.000","0","","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK"
"userclk1","16.000","0.000 8.000","1","txoutclk_x0y0","XDMA/inst/xdma_v41_m1_pcie2_to_pcie3_wrapper_i/pcie2_ip_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_clock_int.pipe_clock_i/mmcm_i/CLKOUT2"
