scan,recovery_read_utc,generation,channel,bank,a8_pre,a8_post,novid_pre,novid_post,f0,f2,f3,f4,f5,e2,e3,e8,e9,ea,eb,common_7a,common_7b,common_e0,common_e1,common_e2,raw_sha256,ack_verified
1,2026-09-18T16:49:00.984337257Z,283,CH1,0x05,0x0F,0x0F,1,1,0xFF,0x88,0x02,0x39,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x11,0x11,0x00,0x0F,0x00,30FB0F34A892632C5A59BCE6A9F59FE4652FDB6ACC95794787A9750547431B94,True
1,2026-09-18T16:49:00.984337257Z,283,CH2,0x06,0x0F,0x0F,1,1,0xFF,0x00,0x00,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x11,0x11,0x00,0x0F,0x00,30FB0F34A892632C5A59BCE6A9F59FE4652FDB6ACC95794787A9750547431B94,True
1,2026-09-18T16:49:00.984337257Z,283,CH3,0x07,0x0F,0x0F,1,1,0xFF,0x00,0x00,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x11,0x11,0x00,0x0F,0x00,30FB0F34A892632C5A59BCE6A9F59FE4652FDB6ACC95794787A9750547431B94,True
1,2026-09-18T16:49:00.984337257Z,283,CH4,0x08,0x0F,0x0F,1,1,0xFF,0x00,0x00,0x00,0x00,0x07,0xFF,0x00,0x00,0x00,0x00,0x11,0x11,0x00,0x0F,0x00,30FB0F34A892632C5A59BCE6A9F59FE4652FDB6ACC95794787A9750547431B94,True
