net,netlist_code,pcb_net_id,reference,pin,pad_side,function
NVP_SCL,152,93,U4,T17,Top,FPGA open-drain clock source
NVP_SCL,152,93,U6,64,Top,NVP6134C SCL destination
NVP_SCL,152,93,R20,1,Top,4.7-kOhm pull-up line pad
NVP_SDA,153,94,U4,T18,Top,FPGA bidirectional open-drain data
NVP_SDA,153,94,U6,63,Top,NVP6134C SDA endpoint
NVP_SDA,153,94,R21,2,Bottom,4.7-kOhm pull-up line pad
