reference,value,footprint,side,pad_on_i2c,pad_on_rail,tolerance,role
U4,XC7A15T-CSG325,Misc:Xilinx_CSG325,Top,T17/T18,N/A,N/A,FPGA I2C controller
U6,NVP6134C,Misc:QFN-76-1EP_9x9mm_P0.4mm_EP5.2x5.2mm_ThermalVias,Top,64/63,N/A,N/A,video codec I2C target
R20,4k7,Resistor_SMD:R_0402_1005Metric,Top,1,2,NOT_SPECIFIED,NVP_SCL pull-up to Vcco
R21,4k7,Resistor_SMD:R_0402_1005Metric,Bottom,2,1,NOT_SPECIFIED,NVP_SDA pull-up to Vcco
