FILE,SIZE_BYTES,SHA256,EXECUTED
Publish-R1hR4EvidenceAfterRelease.ps1,7775,1736B12908F576A8B42185AF0ED7C4A47D7901DB740C6C0997AB47B5B45DE65A,NO
R1H_R4_FINAL_REPORT_SCHEMA.md,7846,DC0A0F6FA79F87DC23AE1EB346CA44A072EFDB54E270F6D737851D8441EFFC4D,NOT_APPLICABLE
R1H_R4_PREPUBLICATION_READONLY_AUDIT.md,1975,6242132A022AE7EF85EE96E5DB533A96BC51901F7C390FA3DA2CA9E3B5ADD6FB,NOT_APPLICABLE
R1H_R4_SEALING_AND_PUBLICATION_PLAN.md,6362,00D66D5E7E32AD5FF0E70981838D4F0F189FF1F716FC2F9A51B70E250B42AA2B,NOT_APPLICABLE
Seal-R1hR4EvidenceAfterRelease.ps1,13605,2A852980B5219212F4C4CD23E945F4E4028CB5D612C0CDD46DFD1A04D248FDE4,NO
Test-R1hR4EvidencePreflightReadOnly.ps1,11215,B79291136084D04E6F72F14B2D195883EDBBCCA22F987604DFA476DBF02FC399,YES_READ_ONLY
Test-R1hR4FinalReport.ps1,8391,38CFF059A2652F71ABF7C28F3F8214C9F72041C3351C91D5CCA3E2B18D651F79,NO_REPORT_NOT_YET_CREATED
