Slot,Field,Object_Name,Direct_Leaf_Sink_Count,Sink_Primitive_Pin_Types
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][0]","1","LUT6/I5"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][1]","1","LUT6/I3"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][2]","1","LUT6/I0"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][3]","1","LUT6/I0"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][4]","1","LUT6/I3"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][5]","1","LUT6/I5"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][6]","1","LUT6/I0"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][7]","1","LUT6/I3"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][8]","1","LUT6/I5"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][9]","1","LUT6/I3"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][10]","1","LUT6/I0"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][11]","1","LUT6/I5"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][12]","1","LUT6/I0"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][13]","1","LUT6/I3"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][14]","1","LUT6/I5"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][15]","1","LUT6/I0"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][16]","1","LUT6/I3"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][17]","1","LUT6/I5"
"0","GENERATION","G2B_ONECH_C2H/release_generation_axi_reg[0][18]","1","LUT6/I3"
