Slot,Runtime_s,Report_File,Status,Worst_Datapath_ns,Worst_Slack_ns,Startpoint,Endpoint,Endpoint_Role
"1","0.139","C:/FPGA/G2B_G15_17_EQ_R1_20260904_221706/raw_candidate/FOCUSED_REPORT_TIMING_SLOT1.rpt","PASS","5.576","0.456","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","MISMATCH_CONTAINMENT"
"2","0.139","C:/FPGA/G2B_G15_17_EQ_R1_20260904_221706/raw_candidate/FOCUSED_REPORT_TIMING_SLOT2.rpt","PASS","5.772","0.260","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","MISMATCH_CONTAINMENT"
"3","0.135","C:/FPGA/G2B_G15_17_EQ_R1_20260904_221706/raw_candidate/FOCUSED_REPORT_TIMING_SLOT3.rpt","PASS","5.729","0.303","G2B_ONECH_C2H/release_epoch_axi_reg[3][5]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","MISMATCH_CONTAINMENT"
