Slot,Generation_Count,Epoch_Count,Payload_Count,Original_Destination_Count,State_Destination_Count,Fault_Destination_Count,Reset_Destination_Count,Source_Clocks,Destination_Clocks,Source_Types,State_Types,Fault_Types,Reset_Types,Release_Toggle_Count,Release_Sync1_Count,Release_Sync2_Count,Release_Seen_Count,Sync1_ASYNC_REG,Sync2_ASYNC_REG,Toggle_to_Sync1_Direct,Sync1_to_Sync2_Direct,Source_Control_Nets,Sync_Control_Nets
"0","24","32","56","20","3","4","3","userclk1","nvp_vclk1","N/A:56","FDRE:3","FDRE:4","FDRE:3","1","1","1","1","1","1","YES","YES","NONE","NONE"
"1","24","32","56","20","3","4","3","userclk1","nvp_vclk1","N/A:56","FDRE:3","FDRE:4","FDRE:3","1","1","1","1","1","1","YES","YES","NONE","NONE"
"2","24","32","56","20","3","4","3","userclk1","nvp_vclk1","N/A:56","FDRE:3","FDRE:4","FDRE:3","1","1","1","1","1","1","YES","YES","NONE","NONE"
"3","24","32","56","20","3","4","3","userclk1","nvp_vclk1","N/A:56","FDRE:3","FDRE:4","FDRE:3","1","1","1","1","1","1","YES","YES","NONE","NONE"
