Group,Slot,Family,Constraint_Type,Source_Count,Destination_Count,Required_ns,Worst_Actual_ns,Slack_ns,Runtime_s,Result,Startpoint_Pin,Endpoint_Pin,Source_Clock,Destination_Clock,Logic_Levels,Exception
"15","1","RELEASE_SLOT1_NORMAL_STATE_TRANSITION","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","5.548","0.528","27.946","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/slot_state_source_reg[1][1]/D","userclk1","nvp_vclk1","9","MaxDelay Path 6.000ns -datapath_only"
"15","1","RELEASE_SLOT1_MISMATCH_CONTAINMENT","MAX_DELAY_DATAPATH_ONLY","56","4","6.000","5.576","0.456","0.064","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[1][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","9","MaxDelay Path 6.000ns -datapath_only"
"15","1","RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","4.338","1.692","0.066","PASS","G2B_ONECH_C2H/release_generation_axi_reg[1][0]/C","G2B_ONECH_C2H/reset_abandoned_hold_source_reg[0]/D","userclk1","nvp_vclk1","6","MaxDelay Path 6.000ns -datapath_only"
"16","2","RELEASE_SLOT2_NORMAL_STATE_TRANSITION","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","5.473","0.559","0.073","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/slot_state_source_reg[2][1]/D","userclk1","nvp_vclk1","9","MaxDelay Path 6.000ns -datapath_only"
"16","2","RELEASE_SLOT2_MISMATCH_CONTAINMENT","MAX_DELAY_DATAPATH_ONLY","56","4","6.000","5.772","0.260","0.063","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[2][2]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","9","MaxDelay Path 6.000ns -datapath_only"
"16","2","RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","4.480","1.550","0.060","PASS","G2B_ONECH_C2H/release_generation_axi_reg[2][15]/C","G2B_ONECH_C2H/reset_abandoned_hold_source_reg[0]/D","userclk1","nvp_vclk1","5","MaxDelay Path 6.000ns -datapath_only"
"17","3","RELEASE_SLOT3_NORMAL_STATE_TRANSITION","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","5.515","0.557","0.062","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[3][5]/C","G2B_ONECH_C2H/slot_state_source_reg[3][1]/D","userclk1","nvp_vclk1","8","MaxDelay Path 6.000ns -datapath_only"
"17","3","RELEASE_SLOT3_MISMATCH_CONTAINMENT","MAX_DELAY_DATAPATH_ONLY","56","4","6.000","5.729","0.303","0.065","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[3][5]/C","G2B_ONECH_C2H/source_ownership_fatal_deferred_reg/D","userclk1","nvp_vclk1","9","MaxDelay Path 6.000ns -datapath_only"
"17","3","RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING","MAX_DELAY_DATAPATH_ONLY","56","3","6.000","4.585","1.445","0.063","PASS","G2B_ONECH_C2H/release_epoch_axi_reg[3][7]/C","G2B_ONECH_C2H/reset_abandoned_hold_source_reg[0]/D","userclk1","nvp_vclk1","7","MaxDelay Path 6.000ns -datapath_only"
