fixture,dcp_hash,current_design,part,routed,expected,actual,result
FIXTURE_1,exact,checkpoint_PHASE3_routed,xc7a35tcsg325-2,YES,PASS,PASS,PASS
FIXTURE_2,wrong,checkpoint_PHASE3_routed,xc7a35tcsg325-2,YES,FAIL,FAIL,PASS
FIXTURE_3,exact,EMPTY,xc7a35tcsg325-2,YES,FAIL,FAIL,PASS
FIXTURE_4,exact,checkpoint_PHASE3_routed,xc7a100tcsg324-1,YES,FAIL,FAIL,PASS

