IMAGE_ROLE,CLOCK_NAME,SOURCE_PINS,PERIOD_NS,REGISTER_CELL_COUNT,REPRESENTATIVE_SINKS,TOP_HIERARCHY_COUNTS,REF_NAME_COUNTS
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKOUT0","8.000","431","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[0];pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[1];pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[2];pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[3];pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[4]","pcie7_g0p8c0_support_i=431","FDCE=9;FDRE=392;FDSE=21;GTPE2_CHANNEL=1;GTPE2_COMMON=1;PCIE_2_1=1;SRL16E=6"
"RCA_PASS_CONTROL","clk_250mhz","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKOUT1","4.000","0","","",""
"RCA_PASS_CONTROL","mmcm_fb","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKFBOUT","10.000","0","","",""
"RCA_PASS_CONTROL","nvp_vclk1","vclk1","6.734","1735","app/PIO/PIO_EP_inst/G0P8C2_CAPTURE/active_sav_gray_nvp_reg[0];app/PIO/PIO_EP_inst/G0P8C2_CAPTURE/active_sav_gray_nvp_reg[1];app/PIO/PIO_EP_inst/G0P8C2_CAPTURE/active_sav_gray_nvp_reg[2];app/PIO/PIO_EP_inst/G0P8C2_CAPTURE/active_sav_gray_nvp_reg[3];app/PIO/PIO_EP_inst/G0P8C2_CAPTURE/active_sav_gray_nvp_reg[4]","app=1648;NVP_PHYSICAL_FRONTEND=21;TOP=66","FDCE=2;FDPE=12;FDRE=1707;FDSE=4;IDDR=8;RAMB36E1=2"
"RCA_PASS_CONTROL","sys_clk","sys_clk_p","10.000","9","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[31]_srl32;pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[63]_srl32;pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[94]_srl31;pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllpd_wait_reg[95];pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].pipe_quad.gt_common_enabled.gt_common_int.gt_common_i/qpll_wrapper_i/cpllPDInst/cpllreset_wait_reg[31]_srl32","pcie7_g0p8c0_support_i=9","FDRE=2;SRLC32E=7"
"RCA_PASS_CONTROL","txoutclk_x0y0","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/pipe_wrapper_i/pipe_lane[0].gt_wrapper_i/gtp_channel.gtpe2_channel_i/TXOUTCLK","10.000","0","","",""
"RCA_PASS_CONTROL","userclk1","pcie7_g0p8c0_support_i/pipe_clock_i/mmcm_i/CLKOUT2","16.000","2207","app/PIO/PIO_EP_inst/COMPLETER/bar_hit_reg;app/PIO/PIO_EP_inst/COMPLETER/byte_count_reg[0];app/PIO/PIO_EP_inst/COMPLETER/byte_count_reg[1];app/PIO/PIO_EP_inst/COMPLETER/byte_count_reg[2];app/PIO/PIO_EP_inst/COMPLETER/cpl_data_reg[0]","app=1102;NVP_AUTOINIT=748;pcie7_g0p8c0_support_i=278;TOP=79","FDPE=6;FDRE=2167;FDSE=23;PCIE_2_1=1;RAMB36E1=10"
