IMAGE_ROLE,CLOCK_NAME,REGISTER_CELL,REF_NAME,TOP_HIERARCHY
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[0]","FDSE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[1]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[2]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[3]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/FSM_onehot_reg_state_eios_det_reg[4]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rx_phy_status_q_reg","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rx_status_q_reg[0]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rx_status_q_reg[1]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rx_status_q_reg[2]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rxcharisk_q_reg[0]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rxcharisk_q_reg[1]","FDRE","pcie7_g0p8c0_support_i"
"RCA_PASS_CONTROL","clk_125mhz","pcie7_g0p8c0_support_i/pcie7_g0p8c0_i/inst/inst/gt_top_i/gt_rx_valid_filter[0].GT_RX_VALID_FILTER_7x_inst/gt_rxdata_q_reg[0]","FDRE","pcie7_g0p8c0_support_i"
