role,line,semantic_role,object,class,ref_name,orig_ref_name,ref_pin_name,direction,is_sequential,loc,bel,site,clock_region,async_reg,shreg_extract,dont_touch,keep,iob,parent_composite
"R1","SCL","OEN_D","NVP_AUTOINIT/u_sequence/scl_oen_r_reg/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","SYNC0_REGISTER","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]","cell","FDSE","FDSE","","","1","SLICE_X3Y28","SLICEL.BFF","SLICE_X3Y28","","1","NO","","yes","","NVP_SCL_IOBUF"
"R1","SCL","SYNC0_D","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","SYNC0_Q","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[0]/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","SYNC1_REGISTER","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]","cell","FDSE","FDSE","","","1","SLICE_X3Y28","SLICEL.B5FF","SLICE_X3Y28","","1","NO","","yes","","NVP_SCL_IOBUF"
"R1","SCL","SYNC1_D","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","SYNC1_Q","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","FILTERED_REGISTER","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg","cell","FDSE","FDSE","","","1","SLICE_X3Y28","SLICEL.A5FF","SLICE_X3Y28","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","FILTERED_D","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/D","pin","FDSE","","D","IN","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SCL","FILTERED_Q","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/Q","pin","FDSE","","Q","OUT","","","","","","","","","","","NVP_SCL_IOBUF"
"R1","SDA","PORT","nvp_sda","port","","","","INOUT","","IOB_X0Y19","","IOB_X0Y19","","","","","","","NVP_SDA_IOBUF"
"R1","SDA","COMPOSITE_IBUF_ROOT","NVP_SDA_IOBUF","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NOT_AVAILABLE","NVP_SDA_IOBUF"
