role,line,semantic,mode,delay_object,net,to_pin,fast_max_ps,fast_min_ps,slow_max_ps,slow_min_ps,routed
"R1","SCL","OEN_Q_TO_IOBUF_T","FULL","PATH_NOT_FOUND","","","","","","",""
"R1","SCL","OEN_Q_TO_IOBUF_T","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"R1","SCL","IBUF_O_TO_SYNC0","FULL","PATH_NOT_FOUND","","","","","","",""
"R1","SCL","IBUF_O_TO_SYNC0","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"R1","SCL","SYNC0_Q_TO_SYNC1","FULL","NVP_AUTOINIT/u_sequence/scl_sync_r[0]_to_NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/scl_sync_r[0]","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","137","113","309","253","NOT_AVAILABLE"
"R1","SCL","SYNC0_Q_TO_SYNC1","INTERCONNECT_ONLY","NVP_AUTOINIT/u_sequence/scl_sync_r[0]_to_NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/scl_sync_r[0]","NVP_AUTOINIT/u_sequence/scl_sync_r_reg[1]/D","65","55","144","120","NOT_AVAILABLE"
"R1","SDA","OEN_Q_TO_IOBUF_T","FULL","PATH_NOT_FOUND","","","","","","",""
"R1","SDA","OEN_Q_TO_IOBUF_T","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"R1","SDA","IBUF_O_TO_SYNC0","FULL","PATH_NOT_FOUND","","","","","","",""
"R1","SDA","IBUF_O_TO_SYNC0","INTERCONNECT_ONLY","PATH_NOT_FOUND","","","","","","",""
"R1","SDA","SYNC0_Q_TO_SYNC1","FULL","NVP_AUTOINIT/u_sequence/sda_sync_r[0]_to_NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/sda_sync_r[0]","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","191","156","322","263","NOT_AVAILABLE"
"R1","SDA","SYNC0_Q_TO_SYNC1","INTERCONNECT_ONLY","NVP_AUTOINIT/u_sequence/sda_sync_r[0]_to_NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","NVP_AUTOINIT/u_sequence/sda_sync_r[0]","NVP_AUTOINIT/u_sequence/sda_sync_r_reg[1]/D","65","55","144","120","NOT_AVAILABLE"
