role,path_class,delay_type,status,path_count,path_index,startpoint,end_point,path_group,datapath_delay_ns,logic_delay_ns,route_delay_ns,logic_levels,slack_ns,requirement_ns,is_unconstrained,routable_nets
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","6","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[10]/CE","NOT_AVAILABLE","1.827","NOT_AVAILABLE","NOT_AVAILABLE","1","13.901","16.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","7","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[6]/CE","NOT_AVAILABLE","1.827","NOT_AVAILABLE","NOT_AVAILABLE","1","13.901","16.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","8","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[8]/CE","NOT_AVAILABLE","1.827","NOT_AVAILABLE","NOT_AVAILABLE","1","13.901","16.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","9","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[9]/CE","NOT_AVAILABLE","1.827","NOT_AVAILABLE","NOT_AVAILABLE","1","13.901","16.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","10","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[5]/CE","NOT_AVAILABLE","1.827","NOT_AVAILABLE","NOT_AVAILABLE","1","13.933","16.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","max","TIMING_PATH_REPORTED","12","11","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[7]/CE","NOT_AVAILABLE","1.827","NOT_AVAILABLE","NOT_AVAILABLE","1","13.933","16.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","0","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[5]/CE","NOT_AVAILABLE","0.781","NOT_AVAILABLE","NOT_AVAILABLE","1","0.784","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","1","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[7]/CE","NOT_AVAILABLE","0.781","NOT_AVAILABLE","NOT_AVAILABLE","1","0.784","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","2","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_timeout_seen_r_reg/D","NOT_AVAILABLE","0.913","NOT_AVAILABLE","NOT_AVAILABLE","2","0.786","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","3","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[10]/CE","NOT_AVAILABLE","0.781","NOT_AVAILABLE","NOT_AVAILABLE","1","0.807","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","4","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[6]/CE","NOT_AVAILABLE","0.781","NOT_AVAILABLE","NOT_AVAILABLE","1","0.807","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","5","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[8]/CE","NOT_AVAILABLE","0.781","NOT_AVAILABLE","NOT_AVAILABLE","1","0.807","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","6","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[9]/CE","NOT_AVAILABLE","0.781","NOT_AVAILABLE","NOT_AVAILABLE","1","0.807","0.000","NOT_AVAILABLE","2"
"R1","SCL_FILTERED_TO_TIMEOUT_OR_STATE_DECISION","min","TIMING_PATH_REPORTED","12","7","NVP_AUTOINIT/u_sequence/scl_filtered_r_reg/C","NVP_AUTOINIT/u_sequence/scl_low_released_count_reg[0]/CE","NOT_AVAILABLE","0.826","NOT_AVAILABLE","NOT_AVAILABLE","1","0.831","0.000","NOT_AVAILABLE","2"
