"ROLE","NAME","REF_NAME","PRIMITIVE_TYPE","CLOCK_NAMES","LOC","IS_SEQUENTIAL"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[0]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X55Y69","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[1]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X55Y69","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[2]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X61Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[3]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X56Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[4]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X60Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[5]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X60Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[6]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y72","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[7]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X56Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[8]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X63Y68","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[9]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[10]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X61Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[11]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X54Y71","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[12]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y68","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[13]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y73","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[14]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y72","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[15]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X63Y68","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[16]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y73","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[17]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X55Y69","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[18]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X55Y72","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[19]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y72","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[20]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X55Y73","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[21]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X54Y71","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[22]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X64Y72","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[23]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X59Y74","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[24]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X59Y75","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[25]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y75","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[26]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X59Y74","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[27]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X59Y75","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[28]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y75","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[29]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y75","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[30]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y74","1"
"SOURCE","G2B_ONECH_C2H/axis_epoch_reg[31]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X59Y75","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[0]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y60","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[1]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y58","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[2]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y60","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[3]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y60","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[4]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y58","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[5]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y60","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[6]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y58","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[7]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y58","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[8]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y60","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[9]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y58","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[10]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y58","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[11]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X62Y60","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[12]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y65","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[13]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[14]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[15]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y65","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[16]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y66","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[17]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[18]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[19]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[20]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[21]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[22]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X65Y64","1"
"SOURCE","G2B_ONECH_C2H/axis_generation_reg[23]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X57Y65","1"
"SOURCE","G2B_ONECH_C2H/axis_slot_reg[0]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y67","1"
"SOURCE","G2B_ONECH_C2H/axis_slot_reg[1]","FDRE","FLOP_LATCH.flop.FDRE","userclk1","SLICE_X58Y68","1"
"SINK","G2B_ONECH_C2H/own_ok_hold_source_reg","FDRE","FLOP_LATCH.flop.FDRE","nvp_vclk1","SLICE_X37Y57","1"
