"PATH_INDEX","SOURCE_CELL_DERIVED","DESTINATION_CELL_DERIVED","STARTPOINT_PIN","ENDPOINT_PIN","DATAPATH_DELAY","SLACK","REQUIREMENT","STARTPOINT_CLOCK","ENDPOINT_CLOCK","LOGIC_LEVELS","DELAY_TYPE","SKEW","UNCERTAINTY","ARRIVAL_TIME","CLOCK_PESSIMISM","DATAPATH_LOGIC_DELAY","DATAPATH_NET_DELAY","ENDPOINT_CLOCK_DELAY","ENDPOINT_CLOCK_EDGE","ENDPOINT_CLOCK_ROOT","INPUT_DELAY","OUTPUT_DELAY","STARTPOINT_CLOCK_DELAY","STARTPOINT_CLOCK_EDGE","STARTPOINT_CLOCK_ROOT","TIME_BORROWED_FROM_ENDPOINT","TIME_GIVEN_TO_STARTPOINT","USER_UNCERTAINTY"
"14","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"15","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"16","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"17","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"18","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"19","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"20","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"21","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"22","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"23","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"24","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"25","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"26","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"27","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"28","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"29","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"30","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"31","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"32","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.868","1.162","6.000","userclk1","nvp_vclk1","6","max","N/A","N/A","4.868","N/A","1.602","3.266","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"33","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"34","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"35","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"36","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"37","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"38","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"39","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"40","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
"41","G2B_ONECH_C2H/axis_slot_reg[1]","G2B_ONECH_C2H/own_ok_hold_source_reg","G2B_ONECH_C2H/axis_slot_reg[1]/C","G2B_ONECH_C2H/own_ok_hold_source_reg/D","4.824","1.206","6.000","userclk1","nvp_vclk1","7","max","N/A","N/A","4.824","N/A","1.683","3.141","0.000","0.000","N/A","N/A","N/A","0.000","0.000","N/A","N/A","N/A","N/A"
