"scan","generation","utc","transaction_count","retried_entry_count","communication_class","F0","F2","F3","A8_PRE","A8_POST","NOVID03_PRE","NOVID03_POST","entry_bank","exit_bank","restore","ack_snapshot","profile_projection_subset_match","raw_snapshot_sha256"
"1","1","2026-09-21T21:09:10.0363920Z","105","0","VALID_CLEAN","0x34","0xC0","0x03","0x0B","0x0B","0","0","0x00","0x00","PASS","True","True","C5E6EFC8433E27E8C4CDA20C3036F90572E786E8F0695828903A28A00FE22C50"
"2","2","2026-09-21T21:23:24.4336460Z","105","0","VALID_CLEAN","0x34","0xC0","0x03","0x0B","0x0B","0","0","0x00","0x00","PASS","True","True","F4D3B6449024DEC7E917DCAA1165F19E3F4B07990B1EC1B6ED55957B6F02A789"
"3","3","2026-09-21T21:23:30.3167350Z","105","0","VALID_CLEAN","0x34","0xC0","0x03","0x0B","0x0B","0","0","0x00","0x00","PASS","True","True","8078B4CF73FB4083FBC547070CEFE64F1D86D316707141B8922256D2C2D14E3C"
