Checkpoint,Epoch,ErrorStatus,LastErrorCause,Attempted,Committed,Streamed,Dropped,Overflow,Discontinuity,Beats,LastGlobal,Timestamp,S3
S0,0,0x00000000,0x00000000,0,0,0,0,0,0,0,0xFFFFFFFF,1788857517541580103,NO
S1,1,0x00000000,0x00000000,0,0,0,0,0,0,0,0xFFFFFFFF,1788857517541699404,NO
S2,1,0x00000000,0x00000000,0,0,0,0,0,0,0,0xFFFFFFFF,1788857517541819887,NO
FAILURE_PRE_TERMINAL_REBOOT,1,0x00000007,0x00000001,810022,2052,2048,807970,807968,2,1048576,2047,1788857702376867599,NO
