Timestamp,Operation,Offset,Value,Purpose,Precondition,Authorized,Result,CompletionMonotonicNs
1788857517541593898,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,INTENT,
1788857517541593898,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,PASS,105770680716
1788857517541741752,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,INTENT,
1788857517541741752,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,PASS,105770815716
1788857517556576098,WRITE,0x380C,0x00000001,STREAM_ENABLE,PREQUEUE_READY,YES,INTENT,
1788857517556576098,WRITE,0x380C,0x00000001,STREAM_ENABLE,PREQUEUE_READY,YES,PASS,105785664098
1788857547558867134,WRITE,0x380C,0x00000000,SAFETY_DISABLE,POST_ENABLE_EXCEPTION_STREAM_ACTIVE,YES,INTENT,
1788857547558867134,WRITE,0x380C,0x00000000,SAFETY_DISABLE,POST_ENABLE_EXCEPTION_STREAM_ACTIVE,YES,PASS,135787955514
2026-09-08T08:55:00.8775499Z,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FAILURE_EVIDENCE,YES,INTENT,
2026-09-08T08:55:00.8775499Z,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FAILURE_EVIDENCE,YES,PASS,1788857702376867599
