CheckIndex,Group,Family,SourceCount,DestinationCount,RequiredNs,DatapathDelayNs,SlackNs,RuntimeMs,Result,ReportSHA256,ObjectsSHA256
1,9,OWNERSHIP_SLOT_SETTLING,2,17,6.000,5.747,0.285,35346,PASS,F4057FF3F8CE7BD23DCC273015435D1410232873096DEBEAC31B5EF63780339B,B46DAE7B170E57500FE15C37EE984681FE91AABD6BC7BAFEC722B661F3903E73
2,9,OWNERSHIP_GENERATION_SETTLING,24,17,6.000,4.875,1.157,43,PASS,CE69E8385FE8533A90AB436079CD352365669F39B66304B1AB0CD570ED94DF3D,EC5046ADE082619328E4B42C3247BEF6EA3A27E5A61ECE4646CFA06E84F002C5
3,9,OWNERSHIP_EPOCH_SETTLING,32,17,6.000,5.328,0.704,33,PASS,0C537589CFC7F1782A800C49BD39F48DC62F75BC3BCFB1680943FFD3495C1309,08B06DE34850B175DC2322EE0CF3F66111D06E40FBB35F7253CE323B4ECA0D26
4,13,RESET_ABANDONED_COUNT_STABLE_PAYLOAD,3,32,6.000,2.957,3.102,33,PASS,81F53CCBEFE1765B44C5F245542E952857EF29E5D623C009C8A01ABA5081A829,D355108B0BC73440A53F84F7606EB3B944FD1EF705C776EF2282EF25549483FD
5,13,RESET_COMMIT_PHASE_COMPLETION_BARRIER,4,207,6.000,3.385,2.023,30,PASS,412AC39A9D319C72904B409E97BF5E1A3255BE6B18DF911B7CEBC40A845E52B0,A6141696B1DF179F6E6D826274049524330B75EC42FC697F40590737DAC8F4A7
6,14,RELEASE_SLOT0_NORMAL_STATE_TRANSITION,56,3,6.000,5.392,0.638,32,PASS,602012C406F10644C0D54A09F6E6B4C539A10AFF864DCA4307A8822CDE7DF543,A289A2EF69ECF86321C50A4BB0E0051EC78038788DFCBB9BBFA2CC5981BC5468
7,14,RELEASE_SLOT0_MISMATCH_CONTAINMENT,56,4,6.000,5.431,0.641,32,PASS,8FC9973A1261FDAD183549DE72697C1B6EB81B50FFA8324AB8127C2E96E0E6B7,7B608CEC5F8816ADEEFFAA92418706F02F5604F57821B7C08677AFCEF383CAA8
8,14,RELEASE_SLOT0_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.601,1.432,50,PASS,7BE2EB48940D1512434DA8704795235B403F4C0EAC60779CFC9554774E623005,0927E35A670FDA05E9F92A6F9CE70F03B368FB8B1CF75BB75B99E6D60670D9A0
9,15,RELEASE_SLOT1_NORMAL_STATE_TRANSITION,56,3,6.000,5.399,0.631,38,PASS,F146778E5CB0123039BC887DC3AC3DC6666907C5DE4FD7DF9D46036C7875FB8F,5F6EABCC85467F66426C31CDC1741E340C910F9EBBEE6C7CFA241FC005BBC0FA
10,15,RELEASE_SLOT1_MISMATCH_CONTAINMENT,56,4,6.000,5.400,0.672,29,PASS,BCE1E0AE48445B7F6C2E0ACEA0EEFE795ED821F056285EC74FC65757017AD787,2B4D6DD69BB4E9F1CF7EEFF357C765149CAB89BB682EEC019A8EC7DBBF5262D7
11,15,RELEASE_SLOT1_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.677,1.356,32,PASS,E9CD494A3CD08B1E35DAB9694F8148618505AA5F5607C8E8A266E7B991A7314C,1A3D1370F97752C68386CE7A3567DF983A8B03CA94B8049C8DDA44C5275A4DB6
12,16,RELEASE_SLOT2_NORMAL_STATE_TRANSITION,56,3,6.000,5.422,0.650,37,PASS,1CF524DE4011357A6F0387C783CD32572A48D4DB116640F5389625587A61C4E9,1C80D4B5F79AA087B12DD96DE9A1C5FD61510CC56ACBD6383E16F3889849BE04
13,16,RELEASE_SLOT2_MISMATCH_CONTAINMENT,56,4,6.000,4.922,1.150,39,PASS,C330849372F944CFE9059D92CAF5D9867DCBD238389EC4BAFF91E53D93B4372D,C738C63A76AA82DBA468FD98144963B7A429D93FF2E49FF16BF8144F6F072527
14,16,RELEASE_SLOT2_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.634,1.399,47,PASS,D8C82F5A650E2DDA9C9CBC00485217FB47631FDCF4625E2CB2D5522BCAD280DF,D8EB5975E2E81E51B6EAE0DD89B6158FBB0B7699165D420BF2500CC847FE876E
15,17,RELEASE_SLOT3_NORMAL_STATE_TRANSITION,56,3,6.000,5.489,0.583,33,PASS,D1CB0A8D926EDDCD80E1B341F316D302117E390F00715054FEFBEC7A23B572D7,7138853A997254595B85CD664E5178CEAFAE899C41EF1F033805C95729D149BD
16,17,RELEASE_SLOT3_MISMATCH_CONTAINMENT,56,4,6.000,4.889,1.183,35,PASS,E243D659295E0BFA633530AA6FD68E888CBF24C41BE7834EF82A6C01469E1D0C,757A4119D3F9DAA8BF6F22DBA3E3C647C2342D1250AFFC783F3A21EEC6EDC903
17,17,RELEASE_SLOT3_RESET_OVERLAP_ACCOUNTING,56,3,6.000,4.484,1.548,42,PASS,50192BAB0C1554A215DE30211C43DC6DD14B4DB373CEBD6669294349EF16E20E,4F7ADEA75561E56E14EE5287CE9ED13767279D85C0D0DF5EA6E9AE07832D3C95
