"Name","Severity","Rule"
"CDC-1#136","CRITICAL","CDC-1"
"CDC-1#137","CRITICAL","CDC-1"
"CDC-1#138","CRITICAL","CDC-1"
"CDC-1#139","CRITICAL","CDC-1"
"CDC-1#140","CRITICAL","CDC-1"
"CDC-1#141","CRITICAL","CDC-1"
"CDC-1#142","CRITICAL","CDC-1"
"CDC-1#143","CRITICAL","CDC-1"
"CDC-1#144","CRITICAL","CDC-1"
"CDC-1#145","CRITICAL","CDC-1"
"CDC-1#146","CRITICAL","CDC-1"
"CDC-1#147","CRITICAL","CDC-1"
"CDC-1#148","CRITICAL","CDC-1"
"CDC-1#149","CRITICAL","CDC-1"
"CDC-1#150","CRITICAL","CDC-1"
"CDC-1#151","CRITICAL","CDC-1"
"CDC-1#152","CRITICAL","CDC-1"
"CDC-1#153","CRITICAL","CDC-1"
"CDC-1#154","CRITICAL","CDC-1"
"CDC-1#155","CRITICAL","CDC-1"
"CDC-1#156","CRITICAL","CDC-1"
"CDC-1#157","CRITICAL","CDC-1"
"CDC-1#158","CRITICAL","CDC-1"
"CDC-1#159","CRITICAL","CDC-1"
"CDC-1#160","CRITICAL","CDC-1"
"CDC-1#161","CRITICAL","CDC-1"
"CDC-1#162","CRITICAL","CDC-1"
"CDC-1#163","CRITICAL","CDC-1"
"CDC-1#164","CRITICAL","CDC-1"
"CDC-1#165","CRITICAL","CDC-1"
"CDC-1#166","CRITICAL","CDC-1"
"CDC-1#167","CRITICAL","CDC-1"
"CDC-1#168","CRITICAL","CDC-1"
"CDC-1#169","CRITICAL","CDC-1"
"CDC-1#170","CRITICAL","CDC-1"
"CDC-1#171","CRITICAL","CDC-1"
"CDC-1#172","CRITICAL","CDC-1"
"CDC-1#173","CRITICAL","CDC-1"
"CDC-1#174","CRITICAL","CDC-1"
"CDC-1#175","CRITICAL","CDC-1"
"CDC-1#176","CRITICAL","CDC-1"
"CDC-1#177","CRITICAL","CDC-1"
"CDC-1#178","CRITICAL","CDC-1"
"CDC-1#179","CRITICAL","CDC-1"
"CDC-1#180","CRITICAL","CDC-1"
"CDC-1#181","CRITICAL","CDC-1"
"CDC-1#182","CRITICAL","CDC-1"
"CDC-1#183","CRITICAL","CDC-1"
"CDC-1#184","CRITICAL","CDC-1"
"CDC-1#185","CRITICAL","CDC-1"
"CDC-1#186","CRITICAL","CDC-1"
"CDC-1#187","CRITICAL","CDC-1"
"CDC-1#188","CRITICAL","CDC-1"
"CDC-1#189","CRITICAL","CDC-1"
"CDC-1#190","CRITICAL","CDC-1"
"CDC-1#191","CRITICAL","CDC-1"
"CDC-1#192","CRITICAL","CDC-1"
"CDC-1#193","CRITICAL","CDC-1"
"CDC-1#194","CRITICAL","CDC-1"
"CDC-1#195","CRITICAL","CDC-1"
"CDC-1#196","CRITICAL","CDC-1"
"CDC-1#197","CRITICAL","CDC-1"
"CDC-1#198","CRITICAL","CDC-1"
"CDC-1#199","CRITICAL","CDC-1"
"CDC-1#200","CRITICAL","CDC-1"
"CDC-1#201","CRITICAL","CDC-1"
"CDC-1#202","CRITICAL","CDC-1"
"CDC-1#203","CRITICAL","CDC-1"
"CDC-1#204","CRITICAL","CDC-1"
"CDC-1#205","CRITICAL","CDC-1"
"CDC-1#206","CRITICAL","CDC-1"
"CDC-1#207","CRITICAL","CDC-1"
"CDC-1#208","CRITICAL","CDC-1"
"CDC-1#209","CRITICAL","CDC-1"
"CDC-1#210","CRITICAL","CDC-1"
"CDC-1#211","CRITICAL","CDC-1"
"CDC-1#212","CRITICAL","CDC-1"
"CDC-1#213","CRITICAL","CDC-1"
"CDC-1#214","CRITICAL","CDC-1"
"CDC-1#215","CRITICAL","CDC-1"
"CDC-1#216","CRITICAL","CDC-1"
"CDC-1#217","CRITICAL","CDC-1"
"CDC-1#218","CRITICAL","CDC-1"
"CDC-1#219","CRITICAL","CDC-1"
"CDC-1#220","CRITICAL","CDC-1"
"CDC-1#221","CRITICAL","CDC-1"
"CDC-1#222","CRITICAL","CDC-1"
"CDC-1#223","CRITICAL","CDC-1"
"CDC-1#224","CRITICAL","CDC-1"
"CDC-1#225","CRITICAL","CDC-1"
"CDC-1#226","CRITICAL","CDC-1"
"CDC-1#227","CRITICAL","CDC-1"
"CDC-1#228","CRITICAL","CDC-1"
"CDC-1#229","CRITICAL","CDC-1"
"CDC-1#230","CRITICAL","CDC-1"
"CDC-1#231","CRITICAL","CDC-1"
"CDC-1#232","CRITICAL","CDC-1"
"CDC-1#233","CRITICAL","CDC-1"
"CDC-1#234","CRITICAL","CDC-1"
"CDC-1#235","CRITICAL","CDC-1"
"CDC-1#236","CRITICAL","CDC-1"
"CDC-1#237","CRITICAL","CDC-1"
"CDC-1#238","CRITICAL","CDC-1"
"CDC-1#239","CRITICAL","CDC-1"
"CDC-1#240","CRITICAL","CDC-1"
"CDC-1#241","CRITICAL","CDC-1"
"CDC-1#242","CRITICAL","CDC-1"
"CDC-1#243","CRITICAL","CDC-1"
"CDC-1#244","CRITICAL","CDC-1"
"CDC-1#245","CRITICAL","CDC-1"
"CDC-1#246","CRITICAL","CDC-1"
"CDC-1#247","CRITICAL","CDC-1"
"CDC-1#248","CRITICAL","CDC-1"
"CDC-1#249","CRITICAL","CDC-1"
"CDC-1#250","CRITICAL","CDC-1"
"CDC-1#251","CRITICAL","CDC-1"
"CDC-1#252","CRITICAL","CDC-1"
"CDC-1#253","CRITICAL","CDC-1"
"CDC-1#254","CRITICAL","CDC-1"
"CDC-1#255","CRITICAL","CDC-1"
"CDC-1#256","CRITICAL","CDC-1"
"CDC-1#257","CRITICAL","CDC-1"
"CDC-1#258","CRITICAL","CDC-1"
"CDC-1#259","CRITICAL","CDC-1"
"CDC-1#260","CRITICAL","CDC-1"
"CDC-1#261","CRITICAL","CDC-1"
"CDC-1#262","CRITICAL","CDC-1"
"CDC-1#263","CRITICAL","CDC-1"
"CDC-1#264","CRITICAL","CDC-1"
"CDC-1#265","CRITICAL","CDC-1"
"CDC-1#266","CRITICAL","CDC-1"
"CDC-1#267","CRITICAL","CDC-1"
"CDC-1#268","CRITICAL","CDC-1"
"CDC-1#269","CRITICAL","CDC-1"
"CDC-1#270","CRITICAL","CDC-1"
"CDC-1#271","CRITICAL","CDC-1"
"CDC-1#272","CRITICAL","CDC-1"
"CDC-1#273","CRITICAL","CDC-1"
"CDC-1#274","CRITICAL","CDC-1"
"CDC-1#275","CRITICAL","CDC-1"
"CDC-1#276","CRITICAL","CDC-1"
"CDC-1#277","CRITICAL","CDC-1"
"CDC-1#278","CRITICAL","CDC-1"
