Checkpoint,Epoch,Control,Status,ErrorStatus,LastErrorCause,Attempted,Committed,Streamed,Dropped,Overflow,Discontinuity,Abandoned,BeatsStreamed,LastGlobalSequence,LastAttemptSequence,Timestamp
S0,1,0,196,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788900908406102669
S1,2,0,196,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788900908406228864
S2,2,0,1220,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788900908406418357
SP,2,0,1220,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788900908417309768
