campaign,transactions,address_byte,register_bytes_sent,data_bytes_sent,read_address_bytes_sent,repeated_starts,stop_count,result
50KHZ,10000,0x60,0,0,0,0,10000,PASS
25KHZ,10000,0x60,0,0,0,0,10000,PASS

