time_ps,probe_owns_bus,scl,sda,probe_count,nack_count
0,0,1,1,0,0
184000,1,1,1,0,0
80248000,1,1,0,0,0
100264000,1,0,0,0,0
120280000,1,1,0,0,0
140296000,1,0,1,0,0
160312000,1,1,1,0,0
180328000,1,0,1,0,0
200344000,1,1,1,0,0
220360000,1,0,0,0,0
240376000,1,1,0,0,0
260392000,1,0,0,0,0
280408000,1,1,0,0,0
300424000,1,0,0,0,0
320440000,1,1,0,0,0
340456000,1,0,0,0,0
360472000,1,1,0,0,0
380488000,1,0,0,0,0
400504000,1,1,0,0,0
420520000,1,0,1,0,0
420520000,1,0,0,0,0
440536000,1,1,0,0,0
460552000,1,0,0,0,0
480568000,1,1,0,0,0
500584000,1,1,1,1,0
540616000,1,1,0,1,0
560632000,1,0,0,1,0
580648000,1,1,0,1,0
600664000,1,0,1,1,0
620680000,1,1,1,1,0
640696000,1,0,1,1,0
660712000,1,1,1,1,0
680728000,1,0,0,1,0
700744000,1,1,0,1,0
720760000,1,0,0,1,0
740776000,1,1,0,1,0
760792000,1,0,0,1,0
780808000,1,1,0,1,0
800824000,1,0,0,1,0
820840000,1,1,0,1,0
840856000,1,0,0,1,0
860872000,1,1,0,1,0
880888000,1,0,1,1,0
880888000,1,0,0,1,0
900904000,1,1,0,1,0
920920000,1,0,0,1,0
940936000,1,1,0,1,0
