"arm","image_role","image_sha256","timestamp_start","timestamp_end","attempted_transactions","waddr_opportunities","waddr_acks","waddr_nacks","regaddr_opportunities","regaddr_acks","regaddr_nacks","data_opportunities","data_acks","data_nacks","autoinit_nacks","post_autoinit_nacks","counter_overflow","bram_overflow","reset_events","runtime_identity_verified","valid_run","notes"
"A1","FIXED_R1I_POC","F6A6905DD4AA40FD5F68923629AC3C02929D7D5628895AB43FDADB248929D3C6","2026-08-27T08:16:02.0915179Z","2026-08-27T08:16:08.5922166Z","30000","10000","10000","0","10000","10000","0","10000","10000","0","0","0","False","False","1","True","True","Functional PASS; normal video; causal early/qualified/recovery counters all zero."
"B1","EXACT_UNMODIFIED_R1H_CONTROL","73E973A42083D7D22CF427ED09B73F8DE2D2C05506697EA36E1FA1B5F7163C41","2026-08-27T08:23:41.3579439Z","2026-08-27T08:23:44.2109763Z","30000","10000","10000","0","10000","10000","0","10000","10000","0","4","0","False","False","1","True","True","Valid control sample; INIT_ERROR latched after four autoinit phase NACKs; no SAV/frame output."
