image,status,source_commit,source_tree,top,part,vivado,routed_dcp_sha256,bit_sha256,dcp_to_bit_provenance
"R1",FOUND_EXACT,0af44dee3bc091eaff805704dd5c687eeaa01bbd,69154c1257c226c8cddacf4d8e1e9badbbd91c46,ahd_capture_top_xdma,xc7a35tcsg325-2,"2025.2 build 6299465",182BC87220251ADFD849CB13B582CCD626E00A893F596D7F2D4EF9150108D08A,4C169486BCEA09F0C76213C88CF675317C8F30C4DD887EDC4B8989D8E72EF5DB,PASS_EXPLICIT_BUILD_CHAIN
"FORMAL_PHASE2",FOUND_EXACT,fd32fcb65be3f1a59c569874195d1faeaf7d27e9,417820c69c134161fcafae0947dc5976919814d1,ahd_capture_top_xdma,xc7a35tcsg325-2,"2025.2 build 6299465",788248912C227790068B9005651E1C4E1AF05C53A04A27A1C86A711924CAC460,7E4E909D78C2BE5C1E0ECA56229F2B88ECC2DBF5974B32BDF07EF1AFCD9449A2,PASS_EXPLICIT_BUILD_CHAIN
"RCA",FOUND_EXACT,55ce0df41552bb74e0923f89eff43977b040f2e5,11be6461417607667aebf572adeee574c36d71a3,ahd_capture_top_pcie,xc7a35tcsg325-2,"2025.2 build 6299465",584010F53D0162B1C8FFD04FCFDE744BBE87C20F4A7A7306310E9BD96AF8AEB3,A43B9280FACFF259F126B0E4FDD56E39C3D136321696EBFC98B79184A747B3B6,PASS_EXPLICIT_BUILD_CHAIN
