image,line,package_pin,bank,iostandard,drive,slew,pulltype,diff_term,in_term,iob_site,offchip_term,iobuf_i_constant_zero,iob_packing
R1,SCL,T17,14,LVCMOS33,12,SLOW,UNSET,0,NONE,IOB_X0Y18,FP_VTT_50,YES,NO_NOT_REPORTED
R1,SDA,T18,14,LVCMOS33,12,SLOW,UNSET,0,NONE,IOB_X0Y19,FP_VTT_50,YES,NO_NOT_REPORTED
FORMAL_PHASE2,SCL,T17,14,LVCMOS33,12,SLOW,UNSET,0,NONE,IOB_X0Y18,FP_VTT_50,YES,NO_NOT_REPORTED
FORMAL_PHASE2,SDA,T18,14,LVCMOS33,12,SLOW,UNSET,0,NONE,IOB_X0Y19,FP_VTT_50,YES,NO_NOT_REPORTED
RCA,SCL,T17,14,LVCMOS33,12,SLOW,UNSET,0,NONE,IOB_X0Y18,FP_VTT_50,YES,NO_NOT_REPORTED
RCA,SDA,T18,14,LVCMOS33,12,SLOW,UNSET,0,NONE,IOB_X0Y19,FP_VTT_50,YES,NO_NOT_REPORTED
