property_name	property_value
CLASS	hw_target
DEVICE_COUNT	0
HW_JTAG	
IS_OPENED	0
IS_STAPL	0
IS_SVF	0
MAX_DEVICE_COUNT	32
NAME	localhost:3121/xilinx_tcf/Xilinx/80802026a98b01
PARAM.DEVICE	jsn-DLC10-80802026a98b01
PARAM.FREQUENCY	6000000
PARAM.TYPE	xilinx_tcf
TID	jsn-DLC10-80802026a98b01
UID	Xilinx/80802026a98b01
