sample,utc,target,device,part,idcode,done
0,2026-09-07T16:04:31Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
1,2026-09-07T16:04:32Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
2,2026-09-07T16:04:33Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
3,2026-09-07T16:04:34Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
4,2026-09-07T16:04:35Z,localhost:3121/xilinx_tcf/Xilinx/80802026a98b01,xc7a35t_0,xc7a35t,0362D093,1
