filename,size_bytes,sha256,owner,status
Invoke-ContextualPlink.ps1,10952,5AB2E265C494DC4A93E087E52A32D102302070B1DF68B344C01640237A483EC9,host_tools,FROZEN_EXACT_R3_R6
parse_pci_bars.py,3380,5F7A6BDBF498720E1B40C54AB71A7E86BBD43AF1758AB207CF7EEBA65B15A922,host_tools,FROZEN_EXACT_R3_R6
read_nvp_r1e.py,8385,0BE8AD0ECEF0FC333FEDFFAC9C7D94D2851E7FC319EEB88579D7EA3B2AEA7037,host_tools,FROZEN_EXACT_R3_R6
verify_runtime_identity.py,1426,84D143C674AB7CF40E3043178B5F8D926B182A89491B76307CD69E2117D1337C,host_tools,FROZEN_EXACT_R3_R6
analyze_r4_telemetry.py,22161,A19A290FF57B588AA02868F8E46AA9386005EFB0FBC38072C4373DB32F6AB967,host_tools,FROZEN_EXACT_R3_R6
r7_host_baseline_sample_readonly.sh,3717,0C49C3FB9192E40F53285844343BAA7AC6EE1801798C62627A6C45EAC718D730,host_tools,FROZEN_R7
Invoke-R7HostBaseline.ps1,9320,A125FD20FF632199167DA795940C08A79D25B6B2AFEB4F18D79238B203F46444,host_tools,FROZEN_R7
r7_prebootstrap_safety_readonly.sh,13540,FC7868B7CD536A4F3C3D8365AA6950F8B76378687CEE6B8047DECDF2FD6FDB45,host_tools,FROZEN_R7
Invoke-R7PreBootstrapSafetyDiscovery.ps1,5632,814665CFE3534FF53243A7FC8A6FD63FC8B35DFBCD7AE93804477057B573D017,host_tools,FROZEN_R7
r7_post_reboot_preloader_readonly.sh,7419,21748CA9D698B2657862F8EB423DD00D9151A5FB501C18385B7F4B8470B3163D,host_tools,FROZEN_R7
r7_post_loader_readonly.sh,11776,BB37F183A48E5845949061634F267F69BEAE455E80F1AABA394E737C2F81259A,host_tools,FROZEN_R7
Invoke-R7RemoteValidator.ps1,5217,5288D39E6D2DA221FA45199D0442362CA06143816D2C0C7E025F2D2C0ED28101,host_tools,FROZEN_R7
Invoke-R7ExactPinnedLoaderOnce.ps1,3956,F4BA91C8729B2EB671D76E5AC2604380FF41E3B9B008321AE1210965EA60017E,host_tools,FROZEN_R7
Invoke-R7WarmRebootOnce.ps1,2813,305B0DD9B5D78733BA643910507CEC5E7881698B5F6E3697230DC9BCD7203924,host_tools,FROZEN_R7
Wait-R7HostCycle.ps1,2999,35E1406DBBA4F943274E1C3FDF657A962F48952CD0E75ED1DEF2222D38FB9D0F,host_tools,FROZEN_R7
Invoke-R7TelemetryReadOnly.ps1,2952,BF79533EE49DD553D1CA394D03130A856B26BCE8F517E9FCE97403F075E2B56F,host_tools,FROZEN_R7
read_jtag_identity_done_r7_selected.tcl,3527,122C960412B7A8ADFD2926BE9A863A2786D4D022854AE8A0D56798461E0CD91B,jtag_agent,FROZEN_R7
Invoke-R7IndependentDoneReadOnly.ps1,8872,F6FC7B5C4BB61C2F9BF23B43A30D58B8A71AD610AF070822024F5E9EEDC5848A,host_tools,FROZEN_R7
New-R7ConfiguredImageReceipt.ps1,10135,1896EF7E8F28713BFE8A1A59B2E510F3371E4E665AB6F40104D123449F2372E4,host_tools,FROZEN_R7
program_once_mode_aware.tcl,11334,55C3D1F36F815404A081F943B2C2383B3DD2A9E66CF3FBA0F44B5A11B95DA9C7,jtag_agent,FROZEN_R7
Run-ProgramOnceModeAware.ps1,20378,42C6A969A4CA27375C139CB60B4A1E5C33A58E987EB4A5C84DE7312CB9F4208D,jtag_agent,FROZEN_R7
Wait-R7ProgramMinimumAfterIndependentDone.ps1,8574,B25B1EE5C8193D9CF1F75C88AD63BFA012343FCAE613D02BF6BAB2668300AEA2,jtag_agent,FROZEN_R7
