session_index,local_start_tick,local_end_tick,remote_utc,hostname,user,effective_user,kernel,boot_id,uptime_seconds,next_reboot_kernel,helper_exit,result
1,2585552637626,2585564593667,2026-08-23T22:56:13.997548192Z,VCDE-DUT-1,vcdeagent1,root,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,10902.22,7.0.0-29-generic,0,PASS
2,2585597204497,2585601756912,2026-08-23T22:56:17.760757855Z,VCDE-DUT-1,vcdeagent1,root,7.0.0-29-generic,dd140158-f8dc-46eb-9a05-27bb532713aa,10905.98,7.0.0-29-generic,0,PASS
