"IMAGE_ROLE","HIERARCHY_PATH","RAW_NAME","DEPTH","TOTAL_DYNAMIC_POWER_W","CLOCK_W","IO_W","SIGNAL_W","LOGIC_W","BRAM_W","CLOCK_IP_W","GT_W","PCIE_W","OTHER_REPORTED_CATEGORIES","POWER_VALUE_W","POWER_LOWER_BOUND_W","POWER_UPPER_BOUND_EXCLUSIVE_W","REPORT_RESOLUTION_W","SOURCE_TABLE","SOURCE_FILE","SOURCE_LINE"
"RCA_PASS_CONTROL","ahd_capture_top_pcie","ahd_capture_top_pcie","0","0.323","0.018","0.001","0.008","0.004","0.012","0.107","0.149","0.025","","0.323000","0.323000","0.323000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","165"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/NVP_AUTOINIT","NVP_AUTOINIT","1","0.002","0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","166"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/NVP_AUTOINIT/u_sequence","u_sequence","2","0.002","0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","167"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/NVP_PHYSICAL_FRONTEND","NVP_PHYSICAL_FRONTEND","1","0.001","<0.001","<0.001","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.001000","0.001000","0.001000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","168"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/app","app","1","0.019","0.009","0.000","0.005","0.003","0.002","0.000","0.000","0.000","","0.019000","0.019000","0.019000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","169"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/app/PIO","PIO","2","0.019","0.009","0.000","0.005","0.003","0.002","0.000","0.000","0.000","","0.019000","0.019000","0.019000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","170"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/app/PIO/PIO_EP_inst","PIO_EP_inst","3","0.019","0.009","0.000","0.005","0.003","0.002","0.000","0.000","0.000","","0.019000","0.019000","0.019000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","171"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/COMPLETER","COMPLETER","4","0.002","<0.001","0.000","<0.001","<0.001","0.000","0.000","0.000","0.000","","0.002000","0.002000","0.002000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","172"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/G0P8C2_CAPTURE","G0P8C2_CAPTURE","4","0.017","0.009","0.000","0.004","0.002","0.002","0.000","0.000","0.000","","0.017000","0.017000","0.017000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","173"
"RCA_PASS_CONTROL","ahd_capture_top_pcie/app/PIO/PIO_EP_inst/G0P8C2_CAPTURE/BAR_TARGET","BAR_TARGET","5","0.004","<0.001","0.000","<0.001","<0.001","0.002","0.000","0.000","0.000","","0.004000","0.004000","0.004000","0.001000","3.1 By Hierarchy","C:\FPGA\V41_RCA_PHASE2_POWER_BREAKDOWN_NO_BUILD_R1\04_RCA\raw\REPORT_POWER_HIERARCHY_ALL_VERBOSE.rpt","174"
