scan_index,generation,start_utc,collected_utc,channel,a8_pre,a8_post,novid_pre,novid_post,f0,f2,f3,integrity
1,292,2026-09-18T20:31:37.727601427Z,2026-09-18T20:31:37.913639904Z,CH1,0x0F,0x0F,1,1,0xFF,0x00,0x00,PASS
1,292,2026-09-18T20:31:37.727601427Z,2026-09-18T20:31:37.913639904Z,CH2,0x0F,0x0F,1,1,0x34,0xC0,0x03,PASS
1,292,2026-09-18T20:31:37.727601427Z,2026-09-18T20:31:37.913639904Z,CH3,0x0F,0x0F,1,1,0x34,0xC0,0x03,PASS
1,292,2026-09-18T20:31:37.727601427Z,2026-09-18T20:31:37.913639904Z,CH4,0x0F,0x0F,1,1,0xFF,0x00,0x00,PASS
2,293,2026-09-18T20:31:38.031484281Z,2026-09-18T20:31:38.224668198Z,CH1,0x0F,0x0F,1,1,0xFF,0x00,0x00,PASS
2,293,2026-09-18T20:31:38.031484281Z,2026-09-18T20:31:38.224668198Z,CH2,0x0F,0x0F,1,1,0x34,0xC0,0x03,PASS
2,293,2026-09-18T20:31:38.031484281Z,2026-09-18T20:31:38.224668198Z,CH3,0x0F,0x0F,1,1,0x34,0xC0,0x03,PASS
2,293,2026-09-18T20:31:38.031484281Z,2026-09-18T20:31:38.224668198Z,CH4,0x0F,0x0F,1,1,0xFF,0x00,0x00,PASS
3,294,2026-09-18T20:31:38.351814255Z,2026-09-18T20:31:38.546440040Z,CH1,0x0F,0x0F,1,1,0xFF,0x00,0x00,PASS
3,294,2026-09-18T20:31:38.351814255Z,2026-09-18T20:31:38.546440040Z,CH2,0x0F,0x0F,1,1,0x34,0xC0,0x03,PASS
3,294,2026-09-18T20:31:38.351814255Z,2026-09-18T20:31:38.546440040Z,CH3,0x0F,0x0F,1,1,0x34,0xC0,0x03,PASS
3,294,2026-09-18T20:31:38.351814255Z,2026-09-18T20:31:38.546440040Z,CH4,0x0F,0x0F,1,1,0xFF,0x00,0x00,PASS
