sample_index,relative_cycles_from_trigger,relative_time_ns,sda_stage1,sda_stage2,sda_filtered,scl_stage1,scl_stage2,scl_filtered,sda_drive_low,scl_drive_low,ack_decision_strobe,ack_value_used,first_nack_event,first_nack_latched,nvp_reset,vdd1_enable,vdd3_enable,init_active,bit_index,byte_phase,fsm_state,operation_index,current_tx_byte,init_done,init_error,first_error_code,first_error_valid,raw_hex
2090,-982,-15712,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2091,-981,-15696,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2092,-980,-15680,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2093,-979,-15664,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2094,-978,-15648,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2095,-977,-15632,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2096,-976,-15616,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2097,-975,-15600,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2098,-974,-15584,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2099,-973,-15568,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2100,-972,-15552,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2101,-971,-15536,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2102,-970,-15520,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2103,-969,-15504,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2104,-968,-15488,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2105,-967,-15472,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2106,-966,-15456,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2107,-965,-15440,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2108,-964,-15424,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2109,-963,-15408,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2110,-962,-15392,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2111,-961,-15376,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2112,-960,-15360,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2113,-959,-15344,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2114,-958,-15328,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2115,-957,-15312,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
2116,-956,-15296,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,6,31,96,0,0,0,0,0x000601F06010F278
