run,phase,opportunities,ACK,NACK,rate,ppm,wilson95_low,wilson95_high
A1,WADDR,273,270,3,0.01098901098901099,10989.01098901099,0.003744160426029113,0.031804918323293206
A1,REGADDR,273,268,5,0.018315018315018316,18315.018315018315,0.007847820331598282,0.042149961357809095
A1,DATA,219,212,7,0.0319634703196347,31963.4703196347,0.015567715862581072,0.06449574681224361
A1,RADDR,54,54,0,0.0,0.0,0.0,0.0664135880908964
A2,WADDR,275,274,1,0.0036363636363636364,3636.3636363636365,0.0006421961356207172,0.020306836498907313
A2,REGADDR,275,271,4,0.014545454545454545,14545.454545454546,0.005670598306999111,0.03679603800589093
A2,DATA,220,218,2,0.00909090909090909,9090.90909090909,0.002496605724540895,0.03253470108522863
A2,RADDR,55,54,1,0.01818181818181818,18181.81818181818,0.003216780454841077,0.09605776062162397
A3,WADDR,276,273,3,0.010869565217391304,10869.565217391304,0.003703388501720164,0.03146459147582831
A3,REGADDR,276,273,3,0.010869565217391304,10869.565217391304,0.003703388501720164,0.03146459147582831
A3,DATA,220,216,4,0.01818181818181818,18181.81818181818,0.0070927016399128864,0.04580839578449052
A3,RADDR,56,56,0,0.0,0.0,0.0,0.06419393671876342
