Metric,Value,Disposition
PRIMARY_RECORDS_REQUESTED,2500,CONTRACT
PRIMARY_RECORDS_RECEIVED,0,NOT_REACHED
RECORD_INTEGRITY_FAILURES,0,NO_RECORDS_OBSERVED
STRUCTURAL_HEADER_FAILURES,0,NO_RECORDS_OBSERVED
PAYLOAD_GEOMETRY_FAILURES,0,NO_RECORDS_OBSERVED
PADDING_ERRORS,0,NO_RECORDS_OBSERVED
