Test,Modalias,GeneratedAlias,Expected,Actual,Result
AHD exact modalias,pci:v000010EEd00007011sv000010EEsd00000007bc05sc80i00,pci:v000010EEd00007011sv000010EEsd00000007bc*sc*i*,MATCH,MATCH,PASS
AHD vendor/device alternate subsystem,pci:v000010EEd00007011sv000010EEsd00000008bc05sc80i00,pci:v000010EEd00007011sv000010EEsd00000007bc*sc*i*,NO_MATCH,NO_MATCH,PASS
Synthetic HDMI-ID class variant,pci:v000010EEd00007021sv000010EEsd0000F0A1bc05sc80i00,pci:v000010EEd00007011sv000010EEsd00000007bc*sc*i*,NO_MATCH,NO_MATCH,PASS
Generic Xilinx PCI device,pci:v000010EEd00009048sv000010EEsd00000000bc05sc80i00,pci:v000010EEd00007011sv000010EEsd00000007bc*sc*i*,NO_MATCH,NO_MATCH,PASS
Platform XDMA,platform:xdma,pci:v000010EEd00007011sv000010EEsd00000007bc*sc*i*,NO_MATCH,NO_MATCH,PASS
Installed Xilinx endpoint 0000:0b:00.0,pci:v000010EEd00007021sv000010EEsd0000F0A1bc07sc00i01,pci:v000010EEd00007011sv000010EEsd00000007bc*sc*i*,NO_MATCH,NO_MATCH,PASS
