sample_index,monotonic_ms,utc,target_count,device_count,part,idcode,done,refresh_result,program_invocations
1,1787906315139,2026-08-28T08:38:35Z,1,1,xc7a35t,0362D093,0,PASS,0
2,1787906316123,2026-08-28T08:38:36Z,1,1,xc7a35t,0362D093,0,PASS,0
3,1787906317021,2026-08-28T08:38:37Z,1,1,xc7a35t,0362D093,0,PASS,0
4,1787906318094,2026-08-28T08:38:38Z,1,1,xc7a35t,0362D093,0,PASS,0
5,1787906319009,2026-08-28T08:38:39Z,1,1,xc7a35t,0362D093,0,PASS,0
