sample_index,monotonic_ms,utc,target_count,device_count,part,idcode,done,refresh_result
1,1787909858153,2026-08-28T09:37:38Z,1,1,xc7a35t,0362D093,0,PASS
2,1787909859109,2026-08-28T09:37:39Z,1,1,xc7a35t,0362D093,0,PASS
3,1787909860184,2026-08-28T09:37:40Z,1,1,xc7a35t,0362D093,0,PASS
4,1787909861337,2026-08-28T09:37:41Z,1,1,xc7a35t,0362D093,0,PASS
5,1787909862332,2026-08-28T09:37:42Z,1,1,xc7a35t,0362D093,0,PASS
