scan_index,cadence,generation,timestamp_utc_ns,host_duration_ns,scan_duration_ticks,entry_count,bank_group_count,transaction_count,expected_transaction_count,err_cnt_before,err_cnt_after,err_cnt_delta,nack_count,retried_entry_count,timeout_count,bank_verify_failure_count,incomplete_publication,snapshot_mutation,a8_pre,a8_post,snapshot_sha256,rolling_snapshot_sha256,projection,clean_105_transaction_scan,hard_stop
0,CONTROL,4,1789508039373812361,173599422,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,A6C83FD0F8DE008231A2C8EF364D3B5EC1491E1C012DA1CAC4563A6499FD7B54,A6C83FD0F8DE008231A2C8EF364D3B5EC1491E1C012DA1CAC4563A6499FD7B54,PASS,True,False
1,FAST_BACK_TO_BACK_QUALIFICATION,5,1789508039548670169,169932272,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,CAEEBEB427D1B28A61340E55380403E145E73B19FC57CA43D2F1E8BB24A099A6,5BD6271367C118D75F4C55C8874F3E1E78E23A9780E69D6DEFBA80BB4D674F75,PASS,True,False
2,FAST_BACK_TO_BACK_QUALIFICATION,6,1789508039720493908,172545763,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,36741D39C72B6E970EA45B2B4776D3513266B94CCF5C5FA7D632CFBD99D82384,55A26AF07EEED249D78DFCA633F079EA6A52E22BB67EB20A05E20B309E237127,PASS,True,False
3,FAST_BACK_TO_BACK_QUALIFICATION,7,1789508039894642785,173662557,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,BB7EE6E9E4927A05D4D81C0F0990DC2BD047E87AC91D546D02B1BDA80FD918BF,F24D38A152ED31E3937A2728F96879DF25E30337906DCC4519B020EE46E5D03E,PASS,True,False
4,FAST_BACK_TO_BACK_QUALIFICATION,8,1789508040069921501,173106741,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,3FC45586F3CE256CC16EB308EFA08BDE99DC36492E35EA244EAD11331EF47D78,66C08DA9CF3A3C88A630DDFFCBDB5C76C0EA80762AA905F719E8775EE58EDCF7,PASS,True,False
5,FAST_BACK_TO_BACK_QUALIFICATION,9,1789508040244751068,172106862,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,E97875393A3E2CB5081DEF979DE415920FF79A7F0FBDCE7CFBBA849E40B71AC9,4FEFBBE199BC2E5AB9E1B223FA63CBCFD48755D201724C8289DFD2808532BAC2,PASS,True,False
6,FAST_BACK_TO_BACK_QUALIFICATION,10,1789508040418607064,173602337,10499618,82,10,105,105,0,0,0,0,0,0,0,False,False,15,15,DE859BDBCDBB5A985B19699EEBCE42D18240CE8DA32A48420E5F1B1861F5A5F2,49F108A52779AD79BE07E3D8FCE980F14F32951C686EA30654C062F5D2008373,PASS,True,False
7,FAST_BACK_TO_BACK_QUALIFICATION,11,1789508040593888716,173394161,10552314,82,10,106,106,0,1,1,1,1,0,0,False,False,15,15,099E75B2EC6DE34ECA7B09EA1045BEEF194CAE16F037C9D15656A7EA948ECFB7,0835BFE834AD8E3FBD02499DEDE051773354FB0919012155549DC121CB7408FE,PASS,False,False
8,SAME_BACK_TO_BACK_CHARACTERIZATION,12,1789508040781597532,172945211,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,1FFAD2EED27F9BAEBA0454CC55A199C49BFBF9190CA0B75A96A47DD6776C8B3F,4932AF0728D258DC66D06E94AA822C6014427F71A5D861817117EDF8012C4680,PASS,True,False
9,SAME_BACK_TO_BACK_CHARACTERIZATION,13,1789508040956491657,172495110,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,4412ED1D37DFF43B99BF46FF497DD466C8263A421965D94E29719E196C7B156E,3F40D9373F3CEBECC6469155B52079AE6882BB4261318C1AE2CE6F40AE1095AF,PASS,True,False
10,SAME_BACK_TO_BACK_CHARACTERIZATION,14,1789508041130677563,173405163,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,F71F13579DD898E4E7460933360DE9B3DA664ECC24B9F2CC155C3123ED2C6312,6F79439686D95E55D7173EFDD80C919D8757D848E331E196F2F6918B29D26976,PASS,True,False
11,SAME_BACK_TO_BACK_CHARACTERIZATION,15,1789508041305737897,173527358,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,7E9B89B625171EEEA0F279D212BD1B22C63D684B2FC61EFC11D6AAD103773DFC,6E172CC51F4F2714E835601B970786705EAB65D70F0827B7E4910D9657CE376A,PASS,True,False
12,SAME_BACK_TO_BACK_CHARACTERIZATION,16,1789508041480955109,173240437,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,78BCF77F10A8C7E399700C765CABBE411587C60748541E7976929C2AEF849732,6840E1507AEE6A36A355520E6701EDD75C4B203EA1DFE064A1B50337A485CC07,PASS,True,False
13,SAME_BACK_TO_BACK_CHARACTERIZATION,17,1789508041655934181,172773815,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,9B8E38245ADE3435CE3ED0C1031B45AD6ABD411191C339F432A6587A0E3A33F8,47B3DA4466DC2D319C0A2E3004E415BC79ED8E18234047D402580FC9D3510BEF,PASS,True,False
14,SAME_BACK_TO_BACK_CHARACTERIZATION,18,1789508041830344722,173561713,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,285C762158E7610454C1499037856048B191B6A0841820ABA38A3F82CCDC6DC4,6E989A911BDF8126ADA340B1C2582926EFFC88A487F16791949F65F7490F1059,PASS,True,False
15,SAME_BACK_TO_BACK_CHARACTERIZATION,19,1789508042005617688,173426582,10499618,82,10,105,105,1,1,0,0,0,0,0,False,False,15,15,C04446DF158EEEEC1705FD9C67CD669A84E8F2DC2531D741550CDD9C8E1F1A45,C85AC4673F47ADDD71EDBC5E8845489F97B6180502BC24DC97519D81D2764714,PASS,True,False
16,SAME_BACK_TO_BACK_CHARACTERIZATION,20,1789508042180714989,173643813,10552314,82,10,106,106,1,2,1,1,1,0,0,False,False,15,15,B3526A3AA8913698853290F4C782188BC02211F1F179DF0B602270FF3F8AB298,E1EBECA8036E3B036BA385D8E574766A7E9FCB69F88F5F6D2778E73DA591D3AC,PASS,False,False
17,SAME_BACK_TO_BACK_CHARACTERIZATION,21,1789508042368781437,173289820,10499618,82,10,105,105,2,2,0,0,0,0,0,False,False,15,15,C643F4C8F49F1CBA430113FA31389CF3475581A706328D6FCDE06927277F98A3,3A7392F6A7D4EF04F7DFD87B27FACD24F5F6F38E32531E6EC94E8282F2D4D14B,PASS,True,False
18,SAME_BACK_TO_BACK_CHARACTERIZATION,22,1789508042543796877,173049866,10499618,82,10,105,105,2,2,0,0,0,0,0,False,False,15,15,32C596A9DF4945A8937249369BFF2A17166DD7021155BBEC5CF72E498CDCC5B5,34E23C34357A50E4179D8E867A0D68454FFE82D2C0987E525A0446CEF6683D6A,PASS,True,False
19,SAME_BACK_TO_BACK_CHARACTERIZATION,23,1789508042718425741,173010594,10499618,82,10,105,105,2,2,0,0,0,0,0,False,False,15,15,80D91EB412E3FCA057DDCB092B4B5B49B53848AD7B5CD9E7638F9C78806474C5,B2209B0C155C7667BCAED3CCDAA10D39333FC5E8C7808BCCC183C89D393F8CC0,PASS,True,False
20,SAME_BACK_TO_BACK_CHARACTERIZATION,24,1789508042893153149,173476395,10499618,82,10,105,105,2,2,0,0,0,0,0,False,False,15,15,EA320205AA4E88097DF4BEE79AAF5A256A1D733E0CDE88E6C26442E144859300,C70D1476ACA224D2B15764489682F50188F15A6FF37E671126DE0A0142CFBC43,PASS,True,False
21,SAME_BACK_TO_BACK_CHARACTERIZATION,25,1789508043068235233,173228366,10499618,82,10,105,105,2,2,0,0,0,0,0,False,False,15,15,7751882D2C7D5FB9B445ADDBA3D8C779703FF184A827B2A7C240FC4DD977AF08,AED6668E2CB43F5CB3C439864681A810AC40298A4E922F4F84AE536C06F165BE,PASS,True,False
22,SAME_BACK_TO_BACK_CHARACTERIZATION,26,1789508043243271772,173990805,10499618,82,10,105,105,2,2,0,0,0,0,0,False,False,15,15,B05B041AFC9288EF24594BDEC0961DD9DBCA36C4F3CC0D73BF9DD550D790797E,EE918B6362A9D8DA6976B448B5937A0EFC53F6B25D3524168B5E048DFB8C8117,PASS,True,False
23,SAME_BACK_TO_BACK_CHARACTERIZATION,27,1789508043418924299,173385275,10552314,82,10,106,106,2,3,1,1,1,0,0,False,False,15,15,2E6D9BDF1931A58E98543C7BB8B1561DF6ECDDCD6463DDEC3AC789DBAEC38F01,EFF34442AD269E02313971E8C2E72C982F0E1BC68C88D3852EEDD97FC5EA0BAA,PASS,False,False
24,SAME_BACK_TO_BACK_CHARACTERIZATION,28,1789508043606796769,173467207,10499618,82,10,105,105,3,3,0,0,0,0,0,False,False,15,15,F28655BB3A42EB9C5A2EECF4510A7B0D3237EC9707407E5D3A53BF6451DCB8B2,0BF3F95F1D118565E83A548D573A08FBCEA1BE2B6CF9A92302F0EB914AE6EB7F,PASS,True,False
25,SAME_BACK_TO_BACK_CHARACTERIZATION,29,1789508043781891936,172950482,10499618,82,10,105,105,3,3,0,0,0,0,0,False,False,15,15,9BE71F642AC4F7B0F473CDBE250618D10FEEA2255A1D3F8D6179BB763D1EBE30,EA433B1D4A07EAAF5A69A88BF0E21E2D5EC4963941540CF617E5DA51EDDF69B5,PASS,True,False
26,SAME_BACK_TO_BACK_CHARACTERIZATION,30,1789508043956506926,173524043,10499618,82,10,105,105,3,3,0,0,0,0,0,False,False,15,15,ED87E6E54946A4B333F89C273D220B6A0C975D976B5E0E24BCB5A4E957B76235,44F855CDE01B3B003F725DDFA8B8D0441E72326B36823994F6AC150DDC289C50,PASS,True,False
27,SAME_BACK_TO_BACK_CHARACTERIZATION,31,1789508044131720852,173185867,10499618,82,10,105,105,3,3,0,0,0,0,0,False,False,15,15,A37A06574B67DE9568075BF7B5B04572C31C994A3DC5E11EEDC5D73A8CCCDC15,679F7CCA0DB2BA010DE3D0CA5CCA456AE6CD26AD01F2B301AE571BED6732B603,PASS,True,False
28,SAME_BACK_TO_BACK_CHARACTERIZATION,32,1789508044306627521,173576159,10552314,82,10,106,106,3,4,1,1,1,0,0,False,False,15,15,2A4B733D01E82CCACE9ECDBC1DF8FCC9CFDDA0E1322B1116CB8FE0CA772EA14E,DA0132E4F0168FD53239ACDC2130A9D7C3C52C81DED7D829B7987A3B096703B9,PASS,False,False
29,SAME_BACK_TO_BACK_CHARACTERIZATION,33,1789508044494756224,173492824,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,FB40792AD8A8E2D1D8DC1412070E459D145C74257A9D457FDC4C6D596EBC9443,0899BF231C473C4A65DD28967FAE0503533BC84403BBF224ADAE22E1627D7E00,PASS,True,False
30,SAME_BACK_TO_BACK_CHARACTERIZATION,34,1789508044670056450,172462922,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,A64D415A36B590ECBEC89E9C3788CC1D70E92F9642D7DB5D85CCAEE65683110C,5834609169FCE14B25D8A64147AD2BBA36ACDDAFF67C62489D516CE85BF553A7,PASS,True,False
31,SAME_BACK_TO_BACK_CHARACTERIZATION,35,1789508044844216228,172903044,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,23E394165B8C395B0A89C293BE25E76B15F5B90622E0259D74A1528EEA2DFA3B,63715FC50DEC24D2D5ABE05656FABC6C29A3BD8C3FEF056EEF14735938E2BB72,PASS,True,False
32,SAME_BACK_TO_BACK_CHARACTERIZATION,36,1789508045018790683,173313955,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,5F3541E6702CBDDA350A672BEF77C443EE2BBAEA91E4CA8C149E77C1B098A217,82137576251F4F136CF418CC8E178271A39507ECB33B87D1F637862A82D1E073,PASS,True,False
33,SAME_BACK_TO_BACK_CHARACTERIZATION,37,1789508045193732356,174116547,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,BAE8DF9F58AE2A6515FC3674DB34957D85B735B69E98BFEF2986D69A4B99E493,130922B7A6C396083F618447E898A0877FAB7E57EB60F39B7C500CD52934ABD5,PASS,True,False
34,SAME_BACK_TO_BACK_CHARACTERIZATION,38,1789508045369652709,173660826,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,279AEC3776EB3BE85B97CB79C422CE85A015E19DD18245FCC77BC505F1FCB836,B9D00D5FDFB840547B9AB0436B686F44CFB59AB1A5319129DD3C88D111464126,PASS,True,False
35,SAME_BACK_TO_BACK_CHARACTERIZATION,39,1789508045545059683,173235399,10499618,82,10,105,105,4,4,0,0,0,0,0,False,False,15,15,17E1227EF374A5AEE55338B55934D48364CF7490A3A858217FF64A67A72630A8,F11F9910A2FD72D2C84B48F7E4CA0E2F33B8860C66D2E82989F309803BB21FDD,PASS,True,False
