START,40312000,0
FALL,60328000,0
RISE,80344000,0
FALL,100936000,1
RISE,120952000,1
FALL,141544000,1
RISE,161560000,1
FALL,182152000,0
RISE,202168000,0
FALL,222760000,0
RISE,242776000,0
FALL,263368000,0
RISE,283384000,0
FALL,303976000,0
RISE,323992000,0
FALL,344584000,0
RISE,364600000,0
FALL,385192000,1
RISE,405208000,0
FALL,425800000,0
RISE,445816000,1
FALL,466408000,1
RISE,486424000,1
FALL,507016000,1
RISE,527032000,1
FALL,547624000,1
RISE,567640000,1
FALL,588232000,0
RISE,608248000,0
FALL,628840000,1
RISE,648856000,1
FALL,669448000,0
RISE,689464000,0
FALL,710056000,0
RISE,730072000,0
FALL,750664000,1
RISE,774784000,0
FALL,795368000,0
RISE,815384000,1
START,835976000,0
FALL,855992000,0
RISE,896024000,0
FALL,916616000,1
RISE,936632000,1
FALL,957224000,1
RISE,977240000,1
FALL,997832000,0
RISE,1017848000,0
FALL,1038440000,0
RISE,1058456000,0
FALL,1079048000,0
RISE,1099064000,0
FALL,1119656000,0
RISE,1139672000,0
FALL,1160264000,1
RISE,1180280000,1
FALL,1200872000,1
RISE,1220888000,0
FALL,1241480000,0
RISE,1261496000,1
FALL,1282088000,1
RISE,1302104000,0
FALL,1322696000,0
RISE,1342712000,1
FALL,1363304000,1
RISE,1383320000,0
FALL,1403912000,0
RISE,1423928000,0
FALL,1444520000,0
RISE,1464536000,1
FALL,1485128000,1
RISE,1505144000,0
FALL,1525736000,0
RISE,1545752000,1
FALL,1566344000,1
RISE,1586360000,1
FALL,1606952000,0
RISE,1626968000,0
STOP,1647560000,1
