image,checkpoint_authority,port,pin,IOB,direction,IOSTANDARD,drive,slew
RC-A,AUTHORITATIVE,nvp_rst,R17,IOB_X0Y21,OUT,LVCMOS33,12,SLOW
RC-A,AUTHORITATIVE,nvp_scl,T17,IOB_X0Y18,INOUT,LVCMOS33,12,SLOW
RC-A,AUTHORITATIVE,nvp_sda,T18,IOB_X0Y19,INOUT,LVCMOS33,12,SLOW
v41,PRECURSOR_REFERENCE_ONLY,nvp_rst,R17,IOB_X0Y21,OUT,LVCMOS33,12,SLOW
v41,PRECURSOR_REFERENCE_ONLY,nvp_scl,T17,IOB_X0Y18,INOUT,LVCMOS33,12,SLOW
v41,PRECURSOR_REFERENCE_ONLY,nvp_sda,T18,IOB_X0Y19,INOUT,LVCMOS33,12,SLOW
