stage,status,slice_lut,logic_lut,memory_lut,ff,bram_tiles
input_post_opt,MEASURED,21301.0,19977.0,1324.0,22962.0,28.5
post_place,MEASURED,20552.0,19299.0,1253.0,22962.0,28.5
pre_physopt_routed,MEASURED,20552.0,19299.0,1253.0,22962.0,28.5
final,MEASURED,20557.0,19304.0,1253.0,22962.0,28.5
