PreviousRecordIndex,Line0RecordIndex,PreviousFrame,Line0Frame,Line0Line,Line0Flags,Line1Follows,Line1Flags,CaptureSequenceDelta,ExpectedCaptureSequenceDelta,AttemptSequenceDelta,GlobalSequenceDelta,MalformedDelta,DroppedDelta,Result
760,761,8128,8129,0,0x00000021,True,0x00000020,22,22,1,1,0,0,PASS
1840,1841,8129,8130,0,0x00000021,True,0x00000020,22,22,1,1,0,0,PASS
