Checkpoint,Epoch,Control,Status,ErrorStatus,LastErrorCause,Attempted,Committed,Streamed,Dropped,Overflow,Discontinuity,Abandoned,BeatsStreamed,LastGlobalSequence,LastAttemptSequence,Timestamp
S0,1,0,196,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788954990241202860
S1,2,0,196,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788954990241352938
S2,2,0,1220,0,0,0,0,0,0,0,0,0,0,4294967295,4294967295,1788954990241472811
SP,2,0,1218,0,0,2503,2503,2500,0,0,0,0,1280000,2499,2499,1788954990346171784
S3,3,0,1220,0,0,2503,2503,2500,0,0,0,3,1280000,4294967295,4294967295,1788954990746877107
