Timestamp,Operation,Offset,Value,Purpose,Precondition,Authorized,Result,CompletionMonotonicNs
1788954990241212468,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,INTENT,
1788954990241212468,WRITE,0x380C,0x00000004,RESET_STREAM_STATE,S0_QUIESCENT,YES,PASS,207469915865
1788954990241393203,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,INTENT,
1788954990241393203,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,BASELINE_PRE_ENABLE,YES,PASS,207470083736
1788954990253770714,WRITE,0x380C,0x00000001,STREAM_ENABLE,ROLLING_PREQUEUE_READY,YES,INTENT,
1788954990253770714,WRITE,0x380C,0x00000001,STREAM_ENABLE,ROLLING_PREQUEUE_READY,YES,PASS,207482475493
1788954990346012088,WRITE,0x380C,0x00000000,NORMAL_DISABLE,PRIMARY_WINDOW_COMPLETE,YES,INTENT,
1788954990346012088,WRITE,0x380C,0x00000000,NORMAL_DISABLE,PRIMARY_WINDOW_COMPLETE,YES,PASS,207574689177
1788954990346070236,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,PRIMARY_WINDOW_EVIDENCE,YES,INTENT,
1788954990346070236,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,PRIMARY_WINDOW_EVIDENCE,YES,PASS,207574760890
1788954990346178146,WRITE,0x380C,0x00000004,POST_TARGET_TAIL_FLUSH,PRIMARY_COMPLETE_AND_NORMAL_DISABLE_ISSUED,YES,INTENT,
1788954990346178146,WRITE,0x380C,0x00000004,POST_TARGET_TAIL_FLUSH,PRIMARY_COMPLETE_AND_NORMAL_DISABLE_ISSUED,YES,PASS,207574870142
1788954990746770329,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FINAL_POST_QUIESCENCE,YES,INTENT,
1788954990746770329,WRITE,0x3844,0x00000001,COHERENT_SNAPSHOT,FINAL_POST_QUIESCENCE,YES,PASS,207975464990
