Metric,Value
DISCONTINUITY_FLAG_RECORDS,1
OVERFLOW_OCCURRED_FLAG_RECORDS,0
MALFORMED_PRECEDING_FLAG_RECORDS,0
GLOBAL_SEQUENCE_GAPS,0
ATTEMPT_SEQUENCE_GAPS,0
SOURCE_PROGRESSION_BREAKS,0
EXPECTED_VERTICAL_TAIL_CAPTURE_SEQUENCE_JUMPS,2
UNEXPECTED_SOURCE_CAPTURE_SEQUENCE_GAPS,0
SOURCE_MALFORMED_SNAPSHOT_DELTA,0
SOURCE_DROPPED_SNAPSHOT_DELTA,0
