Group,Name,RequirementNs,ActualNs,SlackNs,Violation,Result,ReportSHA256,ObjectsSHA256
1,CFG_PCIE_TO_NVP,3.000,1.208,1.792,NO,PASS,C5C84EB6B3EAE4A1E49524C6759BC270FCE976B72EAB6508A88028120CA4337B,A3EFF874297EEE7D505F91F1BA53FC6B7FB797B8E5AEBB6ED5A7AD914C84B9C6
2,STATUS_NVP_TO_PCIE,3.000,1.577,1.423,NO,PASS,513E5B0A782662AE7AF187CBCF0BDAD92763CDF86880B0DCDF3779268D6E3C03,FB5316BF22C23E5C04DFFEF26B4BAC856487C45E407633C30060808EF8CF9F55
3,DIAGNOSTIC_GRAY_TO_FIRST_STAGE,3.000,1.130,1.870,NO,PASS,F2169ED7F64EE8E7167AA897FD43AE16A583FB0907E1BC1D9A765909506B995C,58626920E31E015E2EBA449F6CF551E5809E497EBD78C98A64E661BC78F071DF
4,SNAPSHOT_GRAY_SOURCE_TO_AXI,3.000,1.453,1.547,NO,PASS,891AA70E2B3833801D29D6201A116BF807CF7F36EC8588AD1B8C5A50B5C17201,CC4FDF8E19078C65548D21FB9EEA8740F50F56E25E8474FECD413A55D8756E45
5,SNAPSHOT_EPOCH_SOURCE_TO_AXI,3.000,0.914,2.086,NO,PASS,5C4A77A60990F07FFA5935446CF20180E730200E1D533052256B4C08085F6703,792205FB5EDD7C7B7B13A9B8467330A2A42CAABEC7882E83363CFE156E907856
6,HARD_EVENT_BASELINE_SOURCE_TO_AXI,3.000,0.801,2.199,NO,PASS,A6AD2DB2C3373EEE90BE7CC9DDA4B674F65B5A83E6B61D29099E305A4C4FB369,75C452C3400582EA7DBC20B186D33F3B259AC495418FC9D927C8697035F379D0
7,SNAPSHOT_EPOCH_AXI_TO_SOURCE,3.000,1.063,1.937,NO,PASS,613A6BD6C2B92CCF23F26269615F763E10710025E16134157C3ADB013B81E63E,22997D2D79DA557F94FAF6F4217FBA771124CC0C7D33735D715E4983543C3D12
8,TRANSPORT_AXI_TO_SOURCE,3.000,2.154,0.846,NO,PASS,7BE0634FD8275F5614F94DD546548156656228C94D98409CF4EC0CE04EE18128,26C7BF2468B07F616267E43CA0B11B809004C7698CAFC39323AB336D25500654
10,DESCRIPTOR_ATTEMPT_SOURCE_TO_AXI,3.000,1.149,1.851,NO,PASS,D79D18A0E97D60A86BA29FEC736FC42CC2C0BC5ED975B9BDF0B578C6DEC53289,76B28C4A6CED7A3379D1B2FDF3879F38A671AB873834C7174FC98089046D8B45
11,DESCRIPTOR_GENERATION_SOURCE_TO_AXI,3.000,1.143,1.857,NO,PASS,086D69FFC4DF1C3CA98CC7DC11FDB4BD000D7643FD363952F76A6954C068724E,AE88DF25DE58F35E5FDB6C2F0736EE71C485BCF4AEDDEBF7BC757CDB111E7D89
12,DESCRIPTOR_EPOCH_SOURCE_TO_AXI,3.000,1.923,1.077,NO,PASS,8F5F8997B4CAE592B0A020E313BFCAB6A3BA2453C9E62EB8AE47500F19BADB51,18EBCECDAF3FAF41263B6B13B1F2AAD89836F727C2573828FECB679213F2C95F
