sequence_index,row,position,candidate,run_id,planned_status,executed_status,classification,blocker
1,1,1,C0,R2-R01-P1-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
2,1,2,C1,R2-R01-P2-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
3,1,3,C3,R2-R01-P3-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
4,1,4,C2,R2-R01-P4-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
5,2,1,C1,R2-R02-P1-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
6,2,2,C2,R2-R02-P2-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
7,2,3,C0,R2-R02-P3-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
8,2,4,C3,R2-R02-P4-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
9,3,1,C2,R2-R03-P1-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
10,3,2,C3,R2-R03-P2-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
11,3,3,C1,R2-R03-P3-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
12,3,4,C0,R2-R03-P4-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
13,4,1,C3,R2-R04-P1-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
14,4,2,C0,R2-R04-P2-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
15,4,3,C2,R2-R04-P3-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
16,4,4,C1,R2-R04-P4-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
17,5,1,C3,R2-R05-P1-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
18,5,2,C0,R2-R05-P2-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
19,5,3,C2,R2-R05-P3-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
20,5,4,C1,R2-R05-P4-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
21,6,1,C2,R2-R06-P1-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
22,6,2,C3,R2-R06-P2-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
23,6,3,C1,R2-R06-P3-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
24,6,4,C0,R2-R06-P4-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
25,7,1,C1,R2-R07-P1-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
26,7,2,C2,R2-R07-P2-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
27,7,3,C0,R2-R07-P3-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
28,7,4,C3,R2-R07-P4-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
29,8,1,C0,R2-R08-P1-C0,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
30,8,2,C1,R2-R08-P2-C1,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
31,8,3,C3,R2-R08-P3-C3,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
32,8,4,C2,R2-R08-P4-C2,PLANNED,NOT_RUN,NOT_RUN,FPGA_AHD_HW_LOCK_STATE_NOT_PROVABLE
