stage,r15_slice_lut,r15r1_slice_lut,delta_new_minus_base,ff,bram_tiles
post_synth,23412,23296,-116,23872,29.5
post_opt,21377,21301,-76,22962,28.5
post_place,NOT_RUN,NOT_RUN,NOT_COMPARABLE,NOT_RUN,NOT_RUN
pre_physopt_routed,NOT_RUN,NOT_RUN,NOT_COMPARABLE,NOT_RUN,NOT_RUN
final_routed,NOT_RUN,NOT_RUN,NOT_COMPARABLE,NOT_RUN,NOT_RUN
