session,round,channel,status,assigned,route_readback,pixel_classification,dominant_uyvy,exact_black_fraction,match,result
1,1,1,NO_VIDEO_STABLE,RED,0x00,UNIFORM_BGDCOL_RED,6441D441,0.0,YES,PASS
2,1,2,NO_VIDEO_STABLE,GREEN,0x01,NOT_REACHED,N/A,N/A,NOT_REACHED,FAIL_SOURCE_NOT_READY
