session_id,round,channel,classification,route_requested,route_readback,bgcolor_code,stable_sample_count,raw_novid,raw_agc_lock,raw_cmp_lock,raw_h_lock,raw_channel_status,bgcolor_78,bgcolor_79,total_status_samples,round_position,round_index_redundant,channel_redundant,classification_redundant,i2c_transaction_count_at_snapshot,i2c_nack_count_low8,i2c_timeout_count_low8,i2c_bus_recovery_count_low8,i2c_nack_count_overflow,i2c_timeout_count_overflow,i2c_bus_recovery_count_overflow,error,first_i2c_error_low8,last_i2c_error_low8,snapshot_words_hex,reserved_bits_zero,snapshot_generation,snapshot_coherence_retries,firmware_current_session
1,1,1,2,0,0,6,5,15,0,15,0,87,70,19,5,0,0,1,2,87,0,0,0,False,False,False,0,0,0,"['0x02240001', '0x00000605', '0x0F000F00', '0x57461305', '0x00020001', '0x00000057', '0x00000000', '0x00000000']",True,1,0,1
2,1,2,2,1,1,4,5,15,0,15,0,87,70,19,5,1,0,2,2,117,0,0,0,False,False,False,0,0,0,"['0x02440002', '0x01010405', '0x0F000F00', '0x57461305', '0x00020042', '0x00000075', '0x00000000', '0x00000000']",True,2,0,2
