Sequence,Iteration,Phase,Operation,Offset,Value,DurationUs,Result
72,4,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.52,PASS
73,5,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.621,PASS
74,5,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.68,PASS
75,5,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.661,PASS
76,5,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.53,PASS
77,5,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.51,PASS
78,5,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.378,PASS
79,5,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.61,PASS
80,5,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.54,PASS
81,5,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.5,PASS
82,5,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.53,PASS
83,5,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.601,PASS
84,5,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.54,PASS
85,6,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,6.662,PASS
86,6,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,10.98,PASS
87,6,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.536,PASS
88,6,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.546,PASS
89,6,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.526,PASS
90,6,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.174,PASS
91,6,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.596,PASS
92,6,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.505,PASS
93,6,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,8.475,PASS
94,6,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.515,PASS
95,6,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,8.546,PASS
96,6,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.636,PASS
97,7,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.546,PASS
98,7,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.516,PASS
99,7,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,11.752,PASS
100,7,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,9.488,PASS
101,7,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.555,PASS
102,7,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.273,PASS
103,7,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.606,PASS
104,7,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.536,PASS
105,7,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,14.747,PASS
106,7,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,11.832,PASS
107,7,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,10.229,PASS
108,7,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,8.506,PASS
109,8,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,8.456,PASS
110,8,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,8.596,PASS
111,8,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.485,PASS
112,8,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,8.546,PASS
113,8,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,8.526,PASS
114,8,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,7.193,PASS
115,8,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,8.576,PASS
116,8,POST_CLEAR_STATE,READ,0x3C18,0x00000000,8.626,PASS
