Sequence,Iteration,Phase,Operation,Offset,Value,DurationUs,Result
325,26,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.531,PASS
326,26,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.61,PASS
327,26,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.58,PASS
328,26,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.561,PASS
329,26,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.561,PASS
330,26,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.177,PASS
331,26,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.581,PASS
332,26,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.581,PASS
333,26,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.53,PASS
334,26,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.59,PASS
335,26,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.601,PASS
336,26,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.58,PASS
337,27,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.63,PASS
338,27,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.601,PASS
339,27,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,7.023,PASS
340,27,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.49,PASS
341,27,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.461,PASS
342,27,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.158,PASS
343,27,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.57,PASS
344,27,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.551,PASS
345,27,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.561,PASS
346,27,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.56,PASS
347,27,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.56,PASS
348,27,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.52,PASS
349,28,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.581,PASS
350,28,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.54,PASS
351,28,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.57,PASS
352,28,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.54,PASS
353,28,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.5,PASS
354,28,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.127,PASS
355,28,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.59,PASS
356,28,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.551,PASS
357,28,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.541,PASS
358,28,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.58,PASS
359,28,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,7.133,PASS
360,28,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.591,PASS
361,29,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.721,PASS
362,29,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.56,PASS
363,29,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.621,PASS
364,29,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.711,PASS
365,29,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.67,PASS
366,29,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.358,PASS
367,29,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.561,PASS
368,29,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.471,PASS
369,29,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.51,PASS
370,29,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.601,PASS
371,29,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.58,PASS
372,29,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.72,PASS
373,30,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.611,PASS
374,30,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.7,PASS
375,30,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.601,PASS
376,30,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.52,PASS
377,30,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.59,PASS
378,30,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,5.57,PASS
379,30,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.52,PASS
380,30,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.571,PASS
381,30,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.521,PASS
382,30,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.571,PASS
383,30,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.6,PASS
384,30,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.751,PASS
385,31,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.68,PASS
386,31,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,5.671,PASS
387,31,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.65,PASS
388,31,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.671,PASS
389,31,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.511,PASS
390,31,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.258,PASS
391,31,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.58,PASS
392,31,POST_CLEAR_STATE,READ,0x3C18,0x00000000,7.154,PASS
393,31,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.63,PASS
394,31,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.66,PASS
395,31,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.641,PASS
396,31,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.56,PASS
397,32,PRE_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.66,PASS
398,32,PRE_CLEAR_VERSION,READ,0x3C04,0x00010002,7.144,PASS
399,32,PRE_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.77,PASS
400,32,PRE_CLEAR_STATE,READ,0x3C18,0x00000000,5.711,PASS
401,32,PRE_CLEAR_ERROR,READ,0x3C14,0x00000000,5.72,PASS
402,32,DIAG_CLEAR,WRITE,0x3C0C,0x00000001,4.218,PASS
403,32,POST_CLEAR_STATUS,READ,0x3C10,0x000000A0,5.63,PASS
404,32,POST_CLEAR_STATE,READ,0x3C18,0x00000000,5.591,PASS
405,32,POST_CLEAR_ERROR,READ,0x3C14,0x00000000,5.62,PASS
406,32,POST_CLEAR_MAGIC,READ,0x3C00,0x4E565034,5.74,PASS
407,32,POST_CLEAR_VERSION,READ,0x3C04,0x00010002,5.641,PASS
408,32,POST_CLEAR_RESULT_VALID,READ,0x3D20,0x00000000,5.5,PASS
409,0,POST_SMOKE_I2C_COUNT,READ,0x3C50,0x00000000,5.66,PASS
