session,helper_started,submitted,exact,short,failed,duplicate,missing,pending,bytes,max_outstanding,disable_latency_us,result
1,YES,2500,2500,0,0,0,0,0,10240000,1024,75.469,PASS
2,NO,0,0,0,0,0,0,0,0,N/A,N/A,NOT_STARTED_SOURCE_NOT_READY
