session,round,channel,classification,frame_sequence,frame_sha256,png_sha256
1,1,1,UNIFORM_BGDCOL_RED,7560,515091C698D633144524F512711B75F9AF3A07BF76593328C0269F702029C696,E6E8BB09241D728EBD32C14BB48DAE6760E216A504E2345CC3228DBBC8ADA446
2,1,2,NOT_REACHED,N/A,N/A,N/A
