channel,observations,active_rounds,no_video_rounds,complete_captures,bgcolor_matches,live_nonblack,repeatability
1,1,0,1,1,1,0,NOT_ENOUGH_ROUNDS
2,1,0,1,0,0,0,NOT_ENOUGH_ROUNDS
3,0,0,0,0,0,0,NOT_REACHED
4,0,0,0,0,0,0,NOT_REACHED
