"Tap","PinCount","Direction","NetCount","AllFanoutEndpointCellCount","FunctionalG2BEndpointCount","DiagnosticEndpointCount","Disposition"
"diag_stored_enable","0","ABSENT","0","0","0","0","PRODUCT_ABSENT_EXPECTED"
"diag_c2h_active","0","ABSENT","0","0","0","0","PRODUCT_ABSENT_EXPECTED"
"diag_ring_empty","0","ABSENT","0","0","0","0","PRODUCT_ABSENT_EXPECTED"
"diag_ring_full","0","ABSENT","0","0","0","0","PRODUCT_ABSENT_EXPECTED"
